company_permalink,acquirer_permalink,acquirer_name,acquirer_category_code,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,price_amount,price_currency_code,acquired_at,acquired_at_cleaned,id
/company/keyhole-co,/company/google,Google,search,USA,CA,SF Bay,Mountain View,,USD,10/27/04,2004-10-27 00:00:00,3466
/company/keylabs,/company/applabs,AppLabs,software,IND,,Hyderabad,Hyderabad,,USD,1/1/05,2005-01-01 00:00:00,3467
/company/keynoir,/company/time-out-group,Time Out Group,,,,unknown,,,USD,11/22/11,2011-11-22 00:00:00,3468
/company/deviceanywhere,/company/keynote-systems,Keynote Systems,software,USA,CA,SF Bay,San Mateo,9.0E7,USD,10/10/11,2011-10-10 00:00:00,3469
/company/keyrus,/company/vision-bi,QualityGates,software,USA,NY,New York,New York City,,USD,10/20/11,2011-10-20 00:00:00,3470
/company/keystone-automotive-operations,/company/lkq-corporation,LKQ Corporation,,USA,IL,Chicago,Chicago,4.5E8,USD,12/6/13,2013-12-06 00:00:00,3471
/company/keytosound,/company/koblo,Koblo,games_video,DNK,,Hasselager,Hasselager,,USD,4/1/08,2008-04-01 00:00:00,3472
/company/kforce-clinical-research,/company/inventiv-health,inVentiv Health,,USA,MA,Boston,Burlington,,USD,3/19/12,2012-03-19 00:00:00,3473
/company/kfuo-fm,/company/joy-fm,JOY FM,,,,unknown,,2.6E7,USD,10/7/09,2009-10-07 00:00:00,3474
/company/kiala,/company/ups,UPS,,,,unknown,,,USD,2/15/12,2012-02-15 00:00:00,3475
/company/kickapps,/company/kit-digital,KIT digital,games_video,CZE,,Prague,Prague,,USD,1/31/11,2011-01-31 00:00:00,3476
/company/kickapps,/company/perfect-sense-digital,Perfect Sense Digital,,,,unknown,,,USD,12/12/12,2012-12-12 00:00:00,3477
/company/kickscout,/company/mobee,Mobee,analytics,USA,MA,Boston,Boston,,USD,1/8/14,2014-01-08 00:00:00,3478
/company/kidscamps-com,/company/internet-brands,Internet Brands,web,USA,CA,Los Angeles,El Segundo,,USD,7/29/09,2009-07-29 00:00:00,3479
/company/kidspot,/company/news-limited,News Limited,,AUS,,Australia - Other,,,USD,6/27/11,2011-06-27 00:00:00,3480
/company/kikscore,/company/google,Google,search,USA,CA,SF Bay,Mountain View,,USD,6/1/12,2012-06-01 00:00:00,3481
/company/kikucall,/company/thestreet,TheStreet,finance,USA,NY,New York,New York,,USD,12/18/09,2009-12-18 00:00:00,3482
/company/kima-labs,/company/groupon,Groupon,web,USA,IL,Chicago,Chicago,,USD,2/18/12,2012-02-18 00:00:00,3483
/company/kinaxo-biotechnologies,/company/evotec-inc,Evotec,biotech,DEU,,Hamburg,Hamburg,,USD,4/19/11,2011-04-19 00:00:00,3484
/company/kindertown,/company/demme-learning,Demme Learning,education,USA,PA,Lititz,Lititz,,USD,8/15/13,2013-08-15 00:00:00,3485
/company/king-pharmaceuticals,/company/pfizer,Pfizer,biotech,USA,NY,New York,New York,3.6E9,USD,10/12/10,2010-10-12 00:00:00,3486
/company/king-world-productions,/company/cbs,CBS,news,USA,CA,California - Other,,,USD,1/19/00,2000-01-19 00:00:00,3487
/company/kingfish-labs,/company/buzzfeed,BuzzFeed,news,USA,NY,New York,New York,,USD,9/11/12,2012-09-11 00:00:00,3488
/company/kingmaker,/company/joyus,Joyus,ecommerce,USA,CA,SF Bay,San Francisco,,USD,9/12/13,2013-09-12 00:00:00,3489
/company/kingston-plantation-myrtle-beach-info-vacation-rentals,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,1200.0,USD,2/8/07,2007-02-08 00:00:00,3490
/company/kingston-plantation-vacation-rentals,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,1200.0,USD,3/11/08,2008-03-11 00:00:00,3491
/company/kinkyservices-com,/company/hellhouse-media,HellHouse Media,games_video,USA,WA,Seattle,Renton,,USD,5/13/09,2009-05-13 00:00:00,3492
/company/kinopoisk,/company/yandex,Yandex,search,RUS,,Moscow,Moscow,,USD,10/4/13,2013-10-04 00:00:00,3493
/company/kinship-technologies,/company/pra-international,PRA International,,USA,NC,Raleigh-Durham,Raleigh,,USD,5/20/11,2011-05-20 00:00:00,3494
/company/kiptronic,/company/limelightnetworks,Limelight Networks,network_hosting,USA,AZ,Phoenix,Tempe,,USD,5/29/09,2009-05-29 00:00:00,3495
/company/kiss-insights,/company/catchfree,CatchFree,web,USA,CA,Los Angeles,Newport Beach,,USD,6/14/12,2012-06-14 00:00:00,3496
/company/kiss-technology,/company/cisco,Cisco,hardware,USA,CA,SF Bay,San Jose,,USD,7/22/05,2005-07-22 00:00:00,3497
/company/kitchme,/company/coupons-com,Coupons.com,web,USA,CA,SF Bay,Mountain View,,USD,3/21/13,2013-03-21 00:00:00,3498
/company/kittiwake-developments,/company/parker-hannifin,Parker Hannifin,hardware,USA,OH,Cleveland,Cleveland,,USD,7/16/12,2012-07-16 00:00:00,3499
/company/kiva-systems,/company/amazon,Amazon,ecommerce,USA,WA,Seattle,Seattle,7.75E8,USD,3/19/12,2012-03-19 00:00:00,3500
