评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
B站低龄化越来越严重了，什么白吃问题都能问出来[呲牙],2022-02-21 03:12:56,5,评论,B站低龄化越来越严重了，什么白吃问题都能问出来,0.0684
我想问一下，我能不能拿嘴啃，我擅长吃饭,2022-02-21 03:17:06,4,评论,我想问一下，我能不能拿嘴啃，我擅长吃饭,0.3718
好厉害！！！！,2022-02-21 03:13:06,5,评论,好厉害！,0.8507
我想徒手撕鬼子[2022],2022-02-21 03:08:05,3,评论,我想徒手撕鬼子,0.0582
这些东西很难传承，即使有人喜欢，但也不一定能传下去，毕竟真正热爱做这些的很少，,2022-02-21 03:04:31,2,评论,这些东西很难传承，即使有人喜欢，但也不一定能传下去，毕竟真正热爱做这些的很少，,0.1483
脑子：我会了手：不你不会,2022-02-21 02:59:32,5,评论,脑子：我会了手：不你不会,0.104
这也太离谱了吧,2022-02-21 02:58:53,5,评论,这也太离谱了吧,0.0235
我说我在练非遗传承，班主任让我叫家长过来,2022-02-21 02:47:08,4,评论,我说我在练非遗传承，班主任让我叫家长过来,0.6052
好看诶！,2022-02-21 02:24:39,5,评论,好看诶！,0.9531
[tv_doge]我只会了第一步接下来剩下的 靠B友,2022-02-21 02:24:13,5,评论,我只会了第一步接下来剩下的 靠B友,0.2136
太厉害了[哦呼][哦呼],2022-02-21 02:14:06,5,评论,太厉害了,0.2456
这人怎么回事，怎么撕着跟玩一样，这不是精细活儿吗[热词系列_知识增加],2022-02-21 02:06:58,6,评论,这人怎么回事，怎么撕着跟玩一样，这不是精细活儿吗,0.0042
我上课就是这么撕着玩的，家长已经在来接我回家的路上了[doge],2022-02-21 02:02:18,5,评论,我上课就是这么撕着玩的，家长已经在来接我回家的路上了,0.4828
撕的我感觉比剪的好看些，这不是杠，就有这种感觉，感觉跟自然了些[疑惑],2022-02-21 02:01:34,5,评论,撕的我感觉比剪的好看些，这不是杠，就有这种感觉，感觉跟自然了些,0.5293
牛牛牛,2022-02-21 02:00:49,6,评论,牛,0.8466
我初中同学天天撕，没想到是非遗,2022-02-21 01:58:09,5,评论,我初中同学天撕，没想到是非遗,0.6509
就是说，我看评论区是想看大家怎么夸人的，没想到来了一群问为啥不用剪刀的（还有问别的的），都说是撕纸了，你猜他拍视频的时候为啥不用剪刀，咱就是说，人，是要靠大脑思考的，你不要觉得肠子和脑子像你就用肠子思考[小电视_笑],2022-02-21 01:51:40,5,评论,就是说，我看评论区是想看大家怎么夸人的，没想到来了一群问为啥不用剪刀的（还有问别的），都说是撕纸了，你猜他拍视频的时候为啥不用剪刀，咱就是说，人，是要靠大脑思考的，你不要觉得肠子和脑子像你就用肠子思考,0.0461
评论区全是九年义务教育漏网之鱼[无语],2022-02-21 01:55:15,4,评论,评论区全是九年义务教育漏网之鱼,0.4495
这位老人但凡是日本人，评论区立马变样，根本就没人讨论这个有没有价值，吹起来估计连他们的亲妈是谁也不知道了[给心心][给心心][给心心],2022-02-21 01:49:52,5,评论,这位老人但凡是日本人，评论区立马变样，根本就没人讨论这个有没有价值，吹起来估计连他们的亲妈是谁也不知道了,0.0048
其实只有前5秒和后5秒的视频,2022-02-21 01:48:58,4,评论,其实只有前5秒和后5秒的视频,0.431
原视频我想肯定不是教学，只是展示，转载的标题就吸睛了，所以想学的没必要跟着这个视频学着撕，这个视频是为了让大家理解文化[doge],2022-02-21 01:46:50,5,评论,原视频我想肯定不是教学，只是展示，转载的标题就吸睛了，所以想学的没必要跟着这个视频学着撕，这个视频是为了让大家理解文化,0.0304
表情变化[疑惑][思考][微笑][微笑][微笑][微笑][微笑][思考][思考][思考][撇嘴][吓][尴尬][大笑][鼓掌],2022-02-21 01:45:14,4,评论,表情变化,0.7549
爷爷好棒！！！up一定帮我转告爷爷哦，我觉得爷爷超级厉害的！,2022-02-21 01:43:17,5,评论,爷好棒！up一定帮我转告爷哦，我觉得爷超级厉害的！,0.9971
牛啊牛啊[汤圆],2022-02-21 01:45:43,6,评论,牛啊,0.8063
我以前小学初中可喜欢这样玩，不过我是瞎撕，撕完才知道是什么，,2022-02-21 01:34:01,5,评论,我以前小学初中可喜欢这样玩，不过我是瞎撕，撕完才知道是什么，,0.3177
个人认为，适合《卖油翁》中的一句话“无他 但手熟尔”假如练习这件事情足够熟练，以后应该也可以达到这种效果（这里丝毫没有贬低老艺术家的技术）仅代表个人观点，不喜勿喷,2022-02-21 01:32:22,3,评论,个人认为，适合《卖油翁》中的一句话“无他 但手熟尔”假如练习这件事情足够熟练，以后应该也可以达到这种效果（这里丝毫没有贬低老艺术家的技术）仅代表个人观点，不喜勿喷,0.8759
这个撕纸我想知道和剪纸差别在哪里呢[捂眼],2022-02-21 01:34:21,6,评论,这个撕纸我想知道和剪纸差别在哪里呢,0.417
[热词系列_知识增加],2022-02-21 01:29:25,4,评论,,0.5667
爷爷好厉害啊!!!厉害，鱼好好看啊,2022-02-21 01:28:25,3,评论,爷好厉害啊!厉害，鱼好看啊,0.9792
老爷爷好棒[点赞]实在是让我大开眼界[惊喜],2022-02-21 01:24:45,4,评论,老爷好棒,0.9966
下面我为大家撕一个稀巴烂[妙啊][妙啊],2022-02-21 01:24:37,5,评论,下面我为大家撕一个稀巴烂,0.0937
问什么不用剪刀剪，说剪的不好么，我觉得虽然土豆青菜红薯都挺好吃的，怎么做都不错，但是龙虾和牛火腿黑松露应该更好吃吧，为什么大家都不一直吃整天吃这些呢？张嘴闭嘴问意义，怎么不去想想你存在这几十年有意义么？这玩意儿存在的年份少说是你的几十倍你还好意思问意义在哪儿？你回去问问老祖宗们？,2022-02-21 01:23:59,6,评论,问什么不用剪刀剪，说剪的不好么，我觉得虽然土豆青菜红薯都挺好吃的，怎么做都不错，但是龙虾和牛火腿黑松露应该更好吃吧，为什么大家都不一直吃整天吃这些呢？张嘴闭嘴问意义，怎么不去想你存在这几十年有意义么？这玩意儿存在的年份少说是你的几十倍你还好意思问意义在哪儿？你回去问老祖宗们？,0.0029
爷爷牛逼,2022-02-21 01:23:07,6,评论,爷牛逼,0.561
不就是撕纸吗，三岁小孩都，卧槽[星星眼],2022-02-21 01:22:29,6,评论,不就是撕纸吗，三岁小孩都，卧槽,0.0059
我们只需要学个大双喜就行了，其他都看一乐呵,2022-02-21 01:19:58,5,评论,我们只需要学个大双喜就行了，其他都看一乐呵,0.2725
这个没事，韩国人学不来的。[笑],2022-02-21 01:23:09,5,评论,这个没事，韩国人学不来的。,0.5597
别被韩国人偷过去,2022-02-21 01:20:52,5,评论,别被韩国人偷过去,0.2071
好厉害！！,2022-02-21 01:20:28,5,评论,好厉害！,0.8507
他说他是乱撕的，他可不是乱撕的[doge],2022-02-21 01:18:52,6,评论,他说他是乱撕的，他可不是乱撕的,0.1196
