评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
建议打上[响指][响指]这样的水印，不然怕棒子偷,2021-07-29 21:13:07,5,评论,建议打上这样的水印，不然怕棒子偷,0.0334
建议加个国旗水印吧，偷国人很多的，传外网上说是他们国家的，贼恶心人,2021-07-29 21:09:12,5,评论,建议加个国旗水印吧，偷国人很多的，传外网上说是他们国家的，贼恶心人,0.0052
绝了,2021-07-29 21:05:06,6,评论,绝了,0.7869
怎么屏蔽“小心韩国人”的弹幕,2021-07-29 20:17:19,5,评论,怎么屏蔽“小心韩国人”的弹幕,0.142
毕业展直接挂这个，它是艺术品,2021-07-29 19:58:42,6,评论,毕业展直接挂这个，它是艺术品,0.3917
开始惊叹，然后又无奈，算是了解印花，现在机械印花做这种效果非常简单，而且花费时间少能做得更加精细复杂。非物质文化产品或许已经很难普及大众生活中，但文化传承还是很有意义的。,2021-07-29 19:14:32,5,评论,开始惊叹，然后又无奈，算是了解印花，现在机械印花做这种效果非常简单，而且花费时间少能做得更加精细复杂。非物质文化产品或许已经很难普及大众生活中，但文化传承还是很有意义的。,0.8443
这个是叫蜡缬吗[呲牙],2021-07-29 19:06:15,5,评论,这个是叫蜡缬吗,0.0973
绝绝绝绝绝了[捂眼],2021-07-29 19:05:56,6,评论,绝了,0.7869
太漂亮了！,2021-07-29 15:40:09,4,评论,太漂亮了！,0.8897
自然系魔法师出现了！,2021-07-29 14:16:22,4,评论,自然系魔法师出现了！,0.3006
这是买不起的样子,2021-07-29 14:16:39,5,评论,这是买不起的样子,0.2076
好漂亮啊啊啊啊,2021-07-29 13:23:25,5,评论,好漂亮啊,0.9725
蜡画真的超级难控制,2021-07-29 12:36:21,6,评论,蜡画真的超级难控制,0.2373
好美!,2021-07-29 11:46:36,6,评论,好美!,0.9821
记得打水印哟,2021-07-29 11:14:20,4,评论,记得打水印哟,0.9098
失蜡法，传说中的绝技,2021-07-29 10:55:17,4,评论,失蜡法，传说中的绝技,0.7965
太漂亮了！,2021-07-29 09:38:32,5,评论,太漂亮了！,0.8897
你在变魔术？[请吃红小豆吧！_好难],2021-07-29 09:32:59,5,评论,你在变魔术？,0.0956
晓组织的成员指甲都染色难道也是,2021-07-29 08:11:33,5,评论,晓组织的成员指甲都染色难道也是,0.1956
蜡染,2021-07-29 02:20:29,6,评论,蜡染,0.7202
绝绝子,2021-07-28 22:58:21,5,评论,绝子,0.4881
我天这个太厉害了,2021-07-28 22:23:28,5,评论,我天这个太厉害了,0.3297
太强了！,2021-07-28 22:23:13,5,评论,太强了！,0.4338
其实我更心疼手[藏狐]那是多少劳动才染出来的颜色，又有多少岁月的风霜？,2021-07-28 21:52:31,5,评论,其实我更心疼手那是多少劳动才染出来的颜色，又有多少岁月的风霜？,0.4494
我也做过,2021-07-28 21:14:56,4,评论,我也做过,0.6841
在申了思密达[狗子][doge],2021-07-28 20:50:44,5,评论,在申了思密达,0.2435
棒,2021-07-28 20:13:25,4,评论,棒,0.9813
太美了,2021-07-28 19:48:37,6,评论,太美了,0.8629
太牛了,2021-07-28 19:46:51,5,评论,太牛了,0.4503
做成衣服穿在身上应该很好看吧,2021-07-28 19:38:50,5,评论,做成衣服穿在身上应该很好看吧,0.6479
居然有人问那个蜡渣该怎么处理？[笑哭]我哭了，蜡可以肉融成蜡烛啊，回收可利用,2021-07-28 18:14:12,6,评论,居然有人问那个蜡渣该怎么处理？我哭了，蜡可以肉融成蜡烛啊，回收可利用,0.0646
奢侈品,2021-07-28 16:35:14,6,评论,奢侈品,0.9506
好漂亮啊！,2021-07-28 16:32:28,6,评论,好漂亮啊！,0.9714
好好看啊,2021-07-28 15:41:13,6,评论,好看啊,0.9674
之前看到印度尼西亚也有传统工艺蜡染，是一样的吗为什么他们那边也有[思考],2021-07-28 15:37:25,6,评论,之前看到印度尼西亚也有传统工艺蜡染，是一样的吗为什么他们那边也有,0.4543
查了一下，好多国家都有蜡染这个传统工艺，不过印尼的蜡染是最出名的，被联合国列入非遗了,2021-07-30 22:39:41,5,回复,查了一下，好多国家都有蜡染这个传统工艺，不过印尼的蜡染是最出名的，被联合国列入非遗了,0.9365
感觉这个镜头好难受，不知道看了个啥，然后一直在换。,2021-07-28 14:37:20,5,评论,感觉这个镜头好难受，不知道看了个啥，然后一直在换。,0.3076
效果好好天呐我也想试试呜呜,2021-07-28 14:13:08,5,评论,效果好天呐我也想试呜,0.6105
千万别让韩国人看见[辣眼睛]。。。。,2021-07-28 13:33:00,6,评论,千万别让韩国人看见。,0.1412
老祖宗太厉害了,2021-07-28 13:13:19,5,评论,老祖宗太厉害了,0.1233
要链接！！！,2021-07-28 12:53:15,5,评论,要链接！,0.4422
再保存这些文化遗传的产物，请一定保护好自己，尤其是最后看到你的手，有点儿心疼,2021-07-28 12:50:06,5,评论,再保存这些文化遗传的产物，请一定保护好自己，尤其是最后看到你的手，有点儿心疼,0.8442
记得打水印哦,2021-07-28 11:39:36,4,评论,记得打水印哦,0.918
韩国人:拿来吧你,2021-07-28 11:34:46,5,评论,韩国人:拿来吧你,0.3096
这个变焦转场太痛苦了，好几次以为我要瞎了,2021-07-28 10:48:59,4,评论,这个变焦转场太痛苦了，好几次以为我要瞎了,0.0435
bgm有大佬告诉下吗 想弹,2021-07-28 10:45:42,6,评论,bgm有大佬告诉下吗 想弹,0.2247
想学 没地学 上海没这种店,2021-07-28 05:22:27,4,评论,想学 没地学 上海没这种店,0.1816
可惜现在很多中国的技术都成了非遗,2021-07-28 04:05:01,5,评论,可惜现在很多中国的技术都成了非遗,0.7461
！！！太好看了吧,2021-07-28 00:02:54,6,评论,！太好看了吧,0.7899
这个巨难,2021-07-27 23:50:44,5,评论,这个巨难,0.2131
我想学这个！有没有人知道怎么学呀！拜托了,2021-07-27 23:37:06,4,评论,我想学这个！有没有人知道怎么学呀！拜托了,0.2477
云南，或者开有工艺美术专业的本科院校，都可以学到。蜡染，扎染，都是很好的技艺，但是很难，画蜡的时候难控制，洗蜡的时候不小心没清理干净整张就废了，还有扎染需要用绳子用力的捆绑，特别勒手，扎的时候也并不会知道染好之后的样子，拆的时候还容易把布料拆破,2021-07-28 06:00:20,5,回复,云南，或者开有工艺美术专业的本科院校，都可以学到。蜡染，扎染，都是很好的技艺，但是很难，画蜡的时候难控制，洗蜡的时候不小心没清理干净整张就废了，还有扎染需要用绳子用力的捆绑，特别勒手，扎的时候也并不会知道染好之后的样子，拆的时候还容易把布料拆破,0.9637
非常漂亮，第一次看见这个过程。,2021-07-27 23:20:00,5,评论,非常漂亮，第一次看见这个过程。,0.9666
up一定要打水印，防偷国,2021-07-27 23:19:03,5,评论,up一定要打水印，防偷国,0.8308
提问！蜡染的布料洗了会掉色嘛（日常没见识）,2021-07-27 22:28:47,5,评论,提问！蜡染的布料洗了会掉色嘛（日常没见识）,0.7726
回复 @7987s :我好心水这个布料，方巾一定很好看,2021-07-28 11:16:51,5,回复,回复 @7987s :我好心水这个布料，方巾一定很好看,0.9862
