评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
日常又是震惊的一天,2021-12-28 16:32:58,5,回复,日常又是震惊的一天,0.5849
买了送嘴吗[热词系列_知识增加],2021-12-28 00:08:30,5,评论,买了送嘴吗,0.1331
新版猫头耶[热词系列_知识增加][热词系列_知识增加][热词系列_知识增加],2022-01-13 16:32:37,5,回复,新版猫头耶,0.9692
太棒了！先辈的智慧望尘莫及[大哭][大哭][大哭],2021-12-25 19:49:40,4,评论,太棒了！先辈的智慧望尘莫及,0.9883
一直在看字幕，压根没看上面的动作[脸红],2021-12-25 11:53:44,6,评论,一直在看字幕，压根没看上面的动作,0.1119
以前看过一次,2021-12-18 19:20:51,6,评论,以前看过一次,0.5843
卧槽这么玩的么,2021-12-24 21:39:09,5,评论,卧槽这么玩的么,0.0141
厉害了…,2021-12-22 19:43:44,3,评论,厉害了…,0.3096
前面一直在惊叹，后面有句字幕：捣个精神病。瞬间笑喷。,2022-01-15 09:32:00,5,评论,前面一直在惊叹，后面有句字幕：捣个精神病。瞬间笑喷。,0.0692
牛蛙,2022-01-14 19:23:31,5,评论,牛蛙,0.6278
这玩意儿现在都是非遗了啊[笑哭],2022-01-14 18:56:46,5,评论,这玩意儿现在都是非遗了啊,0.604
听嗨,2022-01-14 11:24:49,6,评论,听嗨,0.7785
b站有号,2022-01-13 20:30:09,6,评论,b站有号,0.837
我还是喜欢这些小玩意儿，有人气儿，现在的东西方便有趣，但实际上还是冷冰冰的[辣眼睛],2022-01-13 18:03:54,5,评论,我还是喜欢这些小玩意儿，有人气儿，现在的东西方便有趣，但实际上还是冷冰的,0.8709
弹幕刷韩国的，其实国际上现在对这种折纸艺术的通用名origami是日文名。这种折法我也玩过，很遗憾当时就是搜origami这个词才找到的教程…,2022-01-12 15:31:35,5,评论,弹幕刷韩国的，其实国际上现在对这种折纸艺术的通用名origami是日文名。这种折法我也玩过，很遗憾当时就是搜origami这个词才找到的教程…,0.8049
小时候只会翻成个球的这个东西是这样玩的啊[笑哭][笑哭][笑哭],2022-01-12 12:28:33,5,评论,小时候只会翻成个球的这个东西是这样玩的啊,0.3362
罗翔。。。,2022-01-11 17:00:49,6,评论,罗翔。,0.5615
与其摆一堆扇子卖，还不如摆个破碗“讨饭”,2022-01-11 13:33:02,6,评论,与其摆一堆扇子卖，还不如摆个破碗“讨饭”,0.0102
玩具有了，不会念[藏狐]，感觉技能都少了,2022-01-11 09:01:17,6,评论,玩具有了，不会念，感觉技能都少了,0.6857
韩国🇰🇷：嗯，嗯！这个太好了！这是我们的了,2022-01-11 04:51:02,6,评论,韩国🇰🇷：嗯，嗯！这个太好了！这是我们的了,0.9646
