评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
有机化学教的简单玻璃工哈哈哈！,2021-02-21 20:13:59,4,评论,有机化学教的简单玻璃工哈！,0.7049
小时候买类两毛钱一个，在小心也玩不了一天。,2021-02-21 18:24:10,5,评论,小时候买类两毛钱一个，在小心也玩不了一天。,0.2049
感觉很危险的样子，如果改进一下口含的那头，减少安全隐患就更好了,2021-02-21 17:25:24,5,评论,感觉很危险的样子，如果改进一下口含的那头，减少安全隐患就更好了,0.0635
儿时的记忆了,2021-02-21 17:07:00,5,评论,儿时的记忆了,0.8988
偷国：又有东西可以偷了,2021-02-21 17:05:25,5,评论,偷国：又有东西可以偷了,0.5518
易碎，比较危险,2021-02-21 16:47:40,6,评论,易碎，比较危险,0.0312
蚊子模拟器[doge],2021-02-21 16:41:07,5,评论,蚊子模拟器,0.2492
里面是啥东西？,2021-02-21 16:07:54,4,评论,里面是啥东西？,0.0681
里面没有东西,2021-02-22 00:26:50,5,回复,里面没有东西,0.2789
前天还看见了,2021-02-21 16:02:01,5,评论,前天还看见了,0.6394
刚记事那年我爸好像给我买过，特别容易碎,2021-02-21 15:59:05,5,评论,刚记事那年我爸好像给我买过，特别容易碎,0.4554
现在都找不到地方买得到，估计也只有农村大集上可能见得到了吧,2021-02-21 15:56:02,5,评论,现在都找不到地方买得到，估计也只有农村大集上可能见得到了吧,0.0605
我小时候我妈天天跟我说这个，不过我从来没见过，今天终于见到了,2021-02-21 14:42:18,5,评论,我小时候我妈天跟我说这个，不过我从来没见过，今天终于见到了,0.7863
琉璃疙蹦！山西·太原,2021-02-21 14:36:36,5,评论,琉璃疙蹦！山西·太原,0.8405
为城市带来玩具+1，琉璃卜对，宜居度+1,2021-02-21 13:43:38,5,评论,为城市带来玩具+1，琉璃卜对，宜居度+1,0.9564
吸到嘴里过的，都来举个爪[再见],2021-02-21 13:29:10,5,评论,吸到嘴里过的，都来举个爪,0.7617
好神奇啊,2021-02-21 13:10:53,5,评论,好神奇啊,0.9423
看到这个视频才想起来小时候玩过这个玩具。想要！[打call],2021-02-21 13:04:34,6,评论,看到这个视频才想起来小时候玩过这个玩具。想要！,0.7757
[妙啊]  琉璃砰子，豫南这边的叫法，我也就30上下～,2021-02-21 12:27:07,5,评论, 琉璃砰子，豫南这边的叫法，我也就30上下～,0.6849
我们这边叫琉璃咯嘣,2021-02-21 12:10:10,6,评论,我们这边叫琉璃咯嘣,0.546
看制作过程比吹起来解压，压-啪～,2021-02-21 12:10:32,6,评论,看制作过程比吹起来解压，压-啪～,0.8444
封面看成了黄旭东[笑哭],2021-02-21 11:52:49,6,评论,封面看成了黄旭东,0.885
今年19，小时候玩过这个，后来再没见过卖的了,2021-02-21 11:40:53,5,评论,今年19，小时候玩过这个，后来再没见过卖的了,0.211
想买一个玩,2021-02-21 11:33:19,4,评论,想买一个玩,0.5686
小时候，一直想，这玩意很容易碎，而且还是玻璃，感觉有点危险。[滑稽][滑稽],2021-02-21 11:30:36,5,评论,小时候，一直想，这玩意很容易碎，而且还是玻璃，感觉有点危险。,0.0964
没40，但35了[滑稽][滑稽][滑稽],2021-02-21 11:28:49,5,评论,没40，但35了,0.2292
湖北80后，小时候玩过,2021-02-21 11:23:15,6,评论,湖北80后，小时候玩过,0.9099
00后 真没见过 豁,2021-02-21 11:15:35,5,评论,0后 真没见过 豁,0.0544
不dei，就得儿的很,2021-02-21 11:13:38,5,评论,不dei，就得儿的很,0.7759
我也见过 30岁 多 不过我是十几岁才见到的 好像叫 玻璃灯儿吧 我也不记得了 我觉得比现在网络游戏好玩,2021-02-21 11:05:33,5,评论,我也见过 30岁 多 不过我是十几岁才见到的 好像叫 玻璃灯儿吧 我也不记得了 我觉得比现在网络游戏好玩,0.9251
说实话都这么大了，我还是玩不好这个,2021-02-21 10:59:29,6,评论,说实话都这么大了，我还是玩不好这个,0.0655
小时候叫“地咚”,2021-02-21 10:54:54,5,评论,小时候叫“地咚”,0.5606
20岁.，给大家拖后腿了,2021-02-21 10:51:29,6,评论,20岁.，给大家拖后腿了,0.1149
啥玩意儿，玻璃不对？,2021-02-21 10:50:54,5,评论,啥玩意儿，玻璃不对？,0.0062
我看过的好些日本动漫里也有……中国有些动漫为什么不能也宣传宣传呢……光架空和现代就弄一大堆垃圾出来……,2021-02-21 10:33:00,5,评论,我看过的好些日本动漫里也有…中国有些动漫为什么不能也宣传呢…光架空和现代就弄一大堆垃圾出来…,0.0316
我们这里叫布登儿,2021-02-21 10:31:10,6,评论,我们这里叫布登儿,0.7585
前年还是啥时候过年我在庙会见过，还买了,2021-02-21 10:25:41,5,评论,前年还是啥时候过年我在庙会见过，还买了,0.3543
玻璃卟der,2021-02-21 10:21:32,6,评论,玻璃卟der,0.6105
我们叫琉璃嘎喯儿,2021-02-21 10:19:40,5,评论,我们叫琉璃嘎喯儿,0.6811
小时候玩过，然后就没见过了,2021-02-21 10:03:15,6,评论,小时候玩过，然后就没见过了,0.5017
百度百科说的就是这一家[嗑瓜子],2021-02-21 09:40:27,5,评论,百度百科说的就是这一家,0.4996
琉璃咯嘣，早在八十年代就被淘汰。替代品是玻璃瓶子的铁盖，就是漏气会凸起来那种，遍地都是，按起来比这响，能把人震耳鸣了,2021-02-21 09:38:03,6,评论,琉璃咯嘣，早在八十年代就被淘汰。替代品是玻璃瓶子的铁盖，就是漏气会凸起来那种，遍地都是，按起来比这响，能把人震耳鸣了,0.0054
爷青回,2021-02-21 09:34:02,4,评论,爷青回,0.6155
一次性玩具，贼脆。小时候就奇怪卖这个的怎么做到挑着一堆这个不破的。,2021-02-21 09:11:44,6,评论,一次性玩具，贼脆。小时候就奇怪卖这个的怎么做到挑着一堆这个不破的。,0.565
被高丽人看到又是他们的了。,2021-02-21 08:53:29,5,评论,被高丽人看到又是他们的了。,0.2197
我也玩过，,2021-02-21 08:38:35,5,评论,我也玩过，,0.6628
噗噗灯儿,2021-02-21 08:35:18,5,评论,噗灯儿,0.6105
我18，小时候见过,2021-02-21 08:06:00,5,评论,我18，小时候见过,0.6892
小时候见过路边卖的，我妈说炸了扎嘴，所以没买过,2021-02-21 07:59:55,6,评论,小时候见过路边卖的，我妈说炸了扎嘴，所以没买过,0.1675
没啥价值,2021-02-21 07:31:17,6,评论,没啥价值,0.1093
我们这儿叫琉璃咯嘣儿,2021-02-21 07:12:55,5,评论,我们这儿叫琉璃咯嘣儿,0.6662
我们叫迪嘟（空耳）,2021-02-21 06:26:19,5,评论,我们叫迪嘟（空耳）,0.4253
我妈妈叫这个叮当，前几年去昆明池时看到有卖的，现在我家还有一个呢,2021-02-21 03:54:06,5,评论,我妈叫这个叮当，前几年去昆明池时看到有卖的，现在我家还有一个呢,0.1727
湖北的，25，很小的时候玩过[笑哭]好久不见了,2021-02-21 01:41:43,6,评论,湖北的，25，很小的时候玩过好久不见了,0.7331
不清楚有没有传到广东，但我是第一次见[给心心],2021-02-21 01:41:39,6,评论,不清楚有没有传到广东，但我是第一次见,0.1946
琉璃不对儿，仨钱一气儿,2021-02-21 01:34:25,5,评论,琉璃不对儿，仨钱一气儿,0.1466
没有见过,2021-02-21 01:05:52,5,评论,没有见过,0.2333
家里还有两个琉璃的小摆件[笑哭]当时在景区里买的,2021-02-21 01:03:44,5,评论,家里还有两个琉璃的小摆件当时在景区里买的,0.895
咕咕当子,2021-02-21 00:53:53,6,评论,咕当子,0.6105
我们叫琉璃胳膊儿,2021-02-21 00:40:45,5,评论,我们叫琉璃胳膊儿,0.6708
我小时候玩的是无色透明的。,2021-02-21 00:35:08,5,评论,我小时候玩的是无色透明的。,0.771
没玩过。万能的某宝上就有，搞一个玩玩,2021-02-21 00:34:28,5,评论,没玩过。万能的某宝上就有，搞一个玩,0.2552
你觉得能活着邮寄到你手上吗[滑稽],2021-02-22 18:03:00,5,回复,你觉得能活着邮寄到你手上吗,0.0678
现在买不到了，用两个手和在一起也能发声音,2021-02-21 00:28:45,5,评论,现在买不到了，用两个手和在一起也能发声音,0.1248
是什么原理？,2021-02-21 00:18:01,6,评论,是什么原理？,0.0577
我以前把旺仔牛奶用吸管挤到这里面喝，然后。。。。你们懂得,2021-02-21 00:16:32,6,评论,我以前把旺仔牛奶用吸管挤到这里面喝，然后。你们懂得,0.2486
没玩过，不过感觉好有趣哦，挺想买一个来玩一下[偷笑],2021-02-21 00:03:40,4,评论,没玩过，不过感觉好有趣哦，挺想买一个来玩一下,0.8213
琉璃咯嘣儿,2021-02-20 23:51:09,5,评论,琉璃咯嘣儿,0.6105
甘肃叫叮当 小时候有,2021-02-20 23:50:03,6,评论,甘肃叫叮当 小时候有,0.8893
小时候见过，但是没有玩过,2021-02-20 23:47:02,5,评论,小时候见过，但是没有玩过,0.6379
00后表示在街上看见过有人卖这个,2021-02-20 23:37:03,5,评论,0后表示在街上看见过有人卖这个,0.2906
我玩过，没四十呢[doge],2021-02-20 23:27:31,6,评论,我玩过，没四十呢,0.3937
像我初中玩的铁饭盒,2021-02-20 23:22:24,5,评论,像我初中玩的铁饭盒,0.6771
这个公园不是常卖吗？,2021-02-20 23:08:43,5,评论,这个公园不是常卖吗？,0.0425
三十出头的也玩过，这说明了啥？,2021-02-20 23:06:23,5,评论,三十出头的也玩过，这说明了啥？,0.1389
我们这儿到现在都还有卖的[吃瓜],2021-02-20 22:37:32,4,评论,我们这儿到现在都还有卖的,0.619
我32，小时候玩儿过，很容易就吹破了。,2021-02-20 22:29:50,4,评论,我32，小时候玩儿过，很容易就吹破了。,0.2919
可不可以多弄几种颜色？,2021-02-20 22:23:39,6,评论,可不可以多弄几种颜色？,0.0589
可以，有绿色的,2021-03-20 00:23:48,6,回复,可以，有绿色的,0.8601
只听说过,2021-02-20 22:19:16,4,评论,只听说过,0.1368
我们孝感叫滴哆,2021-02-20 22:17:19,5,评论,我们孝感叫滴哆,0.6616
小心不要逼脸的偷国思密达！,2021-02-20 21:51:27,4,评论,小心不要逼脸的偷国思密达！,0.0121
初一去玩   在一个地方都有四五个买这个的,2021-02-20 21:24:25,5,评论,初一去玩 在一个地方都有四五个买这个的,0.676
在妖精森林的小不点里看过类似的东西,2021-02-20 21:05:16,5,评论,在妖精森林的小不点里看过类似的东西,0.4106
所以这玩意是咋出的响？,2021-02-20 20:18:16,5,评论,所以这玩意是咋出的响？,0.0081
一吹一吸，带动瓶底震动发出响声,2021-02-20 21:43:43,5,回复,一吹一吸，带动瓶底震动发出响声,0.0031
底是有弧度的，非常薄，气压造成形变产生震动,2021-02-20 21:55:22,6,回复,底是有弧度的，非常薄，气压造成形变产生震动,0.0367
琉璃咯嘣,2021-02-20 19:34:01,6,评论,琉璃咯嘣,0.3124
初一  丞相府有卖的[嗑瓜子],2021-02-20 18:44:02,5,评论,初一 丞相府有卖的,0.7126
👍,2021-02-20 18:08:50,5,评论,👍,0.6105
小时候玩过 太怀念了,2021-02-20 16:04:30,4,评论,小时候玩过 太怀念了,0.8133
第一次见这东西的制作  小时候玩过但没买过[doge],2021-02-20 15:33:31,6,评论,第一次见这东西的制作 小时候玩过但没买过,0.7446
我们这叫叮当！,2021-02-20 15:18:16,6,评论,我们这叫叮当！,0.6274
琉璃蹦蹦吹三吹，小时候赶会见过，可惜没买过，没玩过~,2022-03-11 10:15:56,6,评论,琉璃蹦吹三吹，小时候赶会见过，可惜没买过，没玩过~,0.718
