评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
千万别让韩国人看到[笑哭],2022-02-12 11:24:59,5,评论,千万别让韩国人看到,0.1224
这么好的寓意，真的好的花儿，多多宣传啊,2022-02-12 16:44:12,5,评论,这么好的寓意，真的好的花儿，多宣传啊,0.9696
我还以为是真花呢,2022-02-12 16:01:48,5,评论,我还以为是真花呢,0.2044
这个脏了能洗嘛,2022-02-12 11:04:23,2,评论,这个脏了能洗嘛,0.0804
好耶！好暖！[大哭][大哭][大哭][大哭],2022-02-12 00:19:54,5,评论,好耶！好暖！,0.9965
太棒了！[打call],2022-02-11 23:58:25,5,评论,太棒了！,0.9552
好像收藏资格,2022-02-12 13:03:09,5,评论,好像收藏资格,0.6616
上海恒源祥集团做的，怎么是北京的？,2022-02-12 12:58:24,6,评论,上海恒源祥集团做的，怎么是北京的？,0.2454
中国人的浪漫，永不凋谢的花,2022-02-12 11:48:22,5,评论,中国人的浪漫，永不凋谢的花,0.9094
这个他们是真没见过,2022-02-12 09:02:08,5,评论,这个他们是真没见过,0.3803
这个活比较需要耐心,2022-02-12 10:06:48,3,评论,这个活比较需要耐心,0.4888
时间心意  😭关怀感动,2022-02-12 12:15:52,5,评论,时间心意 😭关怀感动,0.9982
官方应该宣传起来啊,2022-02-12 11:26:31,3,评论,官方应该宣传起来啊,0.2523
这个……钩针编织，自学成才[虎年],2022-02-12 01:43:39,5,评论,这个…钩针编织，自学成才,0.598
哭了,2022-02-12 10:41:35,6,评论,哭了,0.646
那些获奖运动员好像没人带这束花,2022-02-12 08:12:57,4,评论,那些获奖运动员好像没人带这束花,0.3666
颁奖的时候没注意是编织物诶。好厉害。,2022-02-12 07:33:20,6,评论,颁奖的时候没注意是编织物诶。好厉害。,0.6477
家里还有好多手工毛衣不舍的扔，好看，还厚实，就是太扎了，我敏感皮肤。。。[笑哭],2022-02-12 05:17:25,6,评论,家里还有好多手工毛衣不舍的扔，好看，还厚实，就是太扎了，我敏感皮肤。,0.9314
原谅我就记得颁奖的金色冰墩墩了,2022-02-12 02:00:05,5,评论,原谅我就记得颁奖的金色冰墩了,0.7959
哪里！我也会！这个很好学！,2022-02-12 09:19:32,4,评论,哪里！我也会！这个很好学！,0.8715
永不凋谢的花🌸,2022-02-12 08:55:34,4,评论,永不凋谢的花🌸,0.8187
好好看,2022-02-12 08:25:47,5,评论,好看,0.9803
太棒了[冰墩墩][雪容融][爱心],2022-02-12 08:22:42,6,评论,太棒了,0.9459
太棒了，颁奖的时候都不知道是针织的,2022-02-12 01:55:10,5,评论,太棒了，颁奖的时候都不知道是针织的,0.9252
特别有意义的[给心心],2022-02-12 09:30:10,5,评论,特别有意义的,0.8783
不能给韩国人，他们会偷。。。,2022-02-11 23:43:01,5,评论,不能给韩国人，他们会偷。,0.0537
真不错啊，虽然是很小的一件事但是非常有意义,2022-02-12 00:30:13,5,评论,真不错啊，虽然是很小的一件事但是非常有意义,0.9828
