评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
只要有人买，簪娘们无所不能,2022-01-14 17:40:09,6,回复,只要有人买，簪娘们无所不能,0.8406
回复 @一顿一个菠萝蜜 :汉服复兴盘活了很多非遗BV15M4y1u7Lk,2022-01-14 20:51:59,6,回复,回复 @一顿一个菠萝蜜 :汉服复兴盘活了很多非遗BV15M4y1u7Lk,0.7448
已经开始学缠花了，希望通草花也有教程，可以宣扬科普[给心心],2022-01-15 18:03:42,5,评论,已经开始学缠花了，希望通草花也有教程，可以宣扬科普,0.3505
视频里这个小姐姐b站有号[脱单doge]，我关注了,2022-01-16 23:23:14,5,回复,视频里这个小姐b站有号，我关注了,0.8391
害，其实很多人会做，自己研究自己琢磨自己还原，做得不一定比那些有名的差...簪娘没名气就不算会做的人吗？还全国只有五个人会，我是不相信的，要流传就不要设那么高门槛，那么多人会做，倒是承认他们啊！,2022-01-18 00:52:49,5,评论,害，其实很多人会做，自己研究自己琢磨自己还原，做得不一定比那些有名的差.簪娘没名气就不算会做的人吗？还全国只有五个人会，我是不相信的，要流传就不要设那么高门槛，那么多人会做，倒是承认他们啊！,0.0133
买个插家里花瓶，永不凋谢还没有塑料廉价感,2022-01-15 02:34:00,3,评论,买个插家里花瓶，永不凋谢还没有塑料廉价感,0.4979
@清云手工花 这个up超级厉害，她做的花也可以以假乱真，并且有教程。,2022-01-17 23:40:09,3,评论,@清云手工花 这个up超级厉害，她做的花也可以假乱真，并且有教程。,0.9354
我还跟着这个up做了两花瓶花,2022-02-01 18:54:17,4,回复,我还跟着这个up做了两花瓶花,0.3923
哎呀，是我关注的up主[笑哭],2022-01-18 01:01:03,5,回复,哎呀，是我关注的up主,0.7128
好美！这么逼真漂亮，它不光是有古意而已，完全能让人想像过去那些朝代的女人们的佩戴，汉服文化现在回归中，很多年轻人喜欢，其实如果真的卖这个的话，材料和做工好真的应该不少人买的。,2022-01-14 23:48:22,5,评论,好美！这么逼真漂亮，它不光是有古意而已，完全能让人想像过去那些朝代的女人们的佩戴，汉服文化现在回归中，很多年轻人喜欢，其实如果真的卖这个的话，材料和做工好真的应该不少人买的。,0.9836
学校里选修真的可以加些我们传统手艺,2022-01-16 01:10:24,5,评论,学校里选修真的可以加些我们传统手艺,0.8951
B站上手残都能学会的通草花教程一大堆[脱单doge],2022-01-14 20:45:34,5,评论,B站上手残都能学会的通草花教程一大堆,0.1778
想学在哪里学啊？,2022-01-14 12:39:43,4,评论,想学在哪里学啊？,0.2041
BV15M4y1u7Lk 这个,2022-01-14 20:52:12,6,回复,BV15M4y1u7Lk 这个,0.5629
回复 @啾啾与三条鱼 :谢谢ε=ε=(ノ≧∇≦)ノ,2022-01-14 22:58:37,4,回复,回复 @啾与三条鱼 :谢ε=(ノ≧∇≦)ノ,0.6187
直接转发给我的簪郎朋友[妙啊][OK],2022-01-18 17:35:31,4,评论,直接转发给我的簪郎朋友,0.4021
已经在迫害他了[妙啊],2022-01-18 17:46:03,4,回复,已经在迫害他了,0.279
说不过就拉黑笑死，端个前辈架子在那指点，还关注问题，关注问题就是键盘bb人家真学的人呗,2022-01-15 19:44:10,6,评论,说不过就拉黑笑死，端个前辈架子在那指点，还关注问题，关注问题就是键盘b人家真学的人呗,0.2263
这个小姐姐也在b站的,2022-01-15 10:14:41,5,评论,这个小姐也在b站的,0.4618
这是个我永远入不了的坑，因为就算粘完了我也染不了色[妙啊],2022-01-14 16:54:35,6,评论,这是个我永远入不了的坑，因为就算粘完了我也染不了色,0.3252
