评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
我做过，手上留香很久,2021-03-26 12:33:16,4,评论,我做过，手上留香很久,0.948
……啊……我也好想玩喔……在家里摆满瓶瓶罐罐啥的,2021-03-24 22:58:42,5,评论,…啊…我也好想玩喔…在家里摆满瓶罐啥的,0.9277
这年头造谣不要成本，第一我没开团，因为材料费太高；第二那些说材料很便宜的，请你找出来我看，你要能买下来，我找你买原材料！第三技术不是钱？照你这么说我买竹子的沙发，就花点竹子的成本就行了？[辣眼睛][辣眼睛][辣眼睛],2021-06-06 09:24:32,5,评论,这年头造谣不要成本，第一我没开团，因为材料费太高；第二那些说材料很便宜的，请你找出来我看，你要能买下来，我找你买原材料！第三技术不是钱？照你这么说我买竹子的沙发，就花点竹子的成本就行了？,0.0111
小心被棒子狗惦记啊！打水印,2021-04-10 14:14:50,5,评论,小心被棒子狗惦记啊！打水印,0.0157
这个大丸子 真的看饿了,2021-04-05 17:00:14,5,评论,这个大丸子 真的看饿了,0.5094
为什么头发是披着的,2021-06-06 10:48:46,3,评论,为什么头发是披着的,0.0764
回复 @芃芃丸子 :up就是在还原古人的方方面面啊,2021-06-13 10:24:20,3,回复,回复 @芃丸子 :up就是在还原古人的方面啊,0.8124
回复 @_顾小思_ :古人的习惯[OK],2021-06-06 11:43:15,3,回复,回复 @_顾小思_ :古人的习惯,0.6964
回复 @駿柚 :up又不是古人[捂眼],2021-06-13 10:13:31,6,回复,回复 @駿柚 :up又不是古人,0.095
感觉香丸之类的还是应该上炉熏味道会好点，直接闻大部分味道都是淡的,2021-04-18 17:19:56,4,评论,感觉香丸之类的还是应该上炉熏味道会好点，直接闻大部分味道都是淡的,0.1175
请问一颗香球大概能用多久呀？,2021-04-10 11:58:34,5,评论,请问一颗香球大概能用多久呀？,0.0189
其实喜欢up挂在腰间的那款香囊球，求链接~~~,2021-03-28 02:45:57,6,评论,其实喜欢up挂在腰间的那款香囊球，求链接~,0.885
求同款香囊球[doge],2021-03-26 18:40:43,5,评论,求同款香囊球,0.8069
字幕停留时间太短了，可以在长一点,2021-03-26 10:48:30,6,评论,字幕停留时间太短了，可以在长一点,0.2243
古人好精致吖,2021-03-25 09:33:08,5,评论,古人好精致吖,0.9916
⊙∀⊙！哇哦！！！好美啊！！！,2021-03-24 20:29:53,5,评论,⊙∀⊙！哇哦！好美啊！,0.9862
了解啦！,2021-03-24 16:08:10,6,评论,了解啦！,0.8347
大家对软香的心理价位是多少啊？这个稍微有点贵哎[笑哭],2021-03-27 14:06:39,5,评论,大家对软香的心理价位是多少啊？这个稍微有点贵哎,0.5461
回复 @请给我candy :阙阁国风原创设计,2021-03-29 21:43:44,5,回复,回复 @请给我candy :阙阁国风原创设计,0.82
回复 @_顾小思_ :所以叫啥名字啊？？,2021-03-29 21:35:29,3,回复,回复 @_顾小思_ :所以叫啥名字啊？,0.1509
回复 @请给我candy :有个汉服店。。。算吗？,2021-03-29 16:52:24,5,回复,回复 @请给我candy :有个汉服店。算吗？,0.0894
这软香自己买原材料做可以做n个小丸子了吧，一个小丸子就一百块，说实在的离谱实在离谱，原材料一百块买下来都可以做超级多的东西了[辣眼睛],2021-06-06 03:04:38,4,评论,这软香自己买原材料做可以做n个小丸子了吧，一个小丸子就一百块，说实在的离谱实在离谱，原材料一百块买下来都可以做超级多的东西了,0.0538
回复 @_顾小思_ :好的😄,2021-06-06 09:40:37,4,回复,回复 @_顾小思_ :好的😄,0.6348
[辣眼睛][辣眼睛][辣眼睛][辣眼睛],2021-06-06 09:20:22,5,回复,,0.5678
以及，因为原料不是那么好集，金颜苏荷价格太高，我根本没法卖，团也没开，谢谢你不要造谣一张嘴,2021-06-06 09:19:49,5,回复,以及，因为原料不是那么好集，金颜苏荷价格太高，我根本没法卖，团也没开，谢你不要造谣一张嘴,0.0223
有啥男孩子用的那种淡淡的，又好闻的香么？,2021-04-19 09:45:04,3,评论,有啥男孩子用的那种淡的，又好闻的香么？,0.482
最爱宋制汉服[OK],2021-04-16 17:51:00,4,评论,最爱宋制汉服,0.9768
前女友的影子，德都在内，一个好字,2021-04-16 13:14:30,4,评论,前女友的影子，德都在内，一个好字,0.8029
想问在哪儿买？,2021-04-12 22:45:21,5,评论,想问在哪儿买？,0.1912
想学香道有什么渠道嘛？[爱心],2021-04-11 10:56:52,6,评论,想学香道有什么渠道嘛？,0.1739
太美了,2021-04-08 22:15:02,5,评论,太美了,0.863
小心偷国人,2021-04-02 16:31:17,4,评论,小心偷国人,0.0952
弱宋，赔款第一,2021-04-01 21:43:21,5,评论,弱宋，赔款第一,0.0461
up，怎么样才可以学这些？,2021-03-31 19:58:58,4,评论,up，怎么样才可以学这些？,0.1403
赵武灵王胡服骑射！[脱单doge],2021-03-31 12:23:47,6,评论,赵武灵王胡服骑射！,0.7829
关注小思很久，越来越好了，加油呀，一起成长,2021-03-30 13:56:35,3,评论,关注小思很久，越来越好了，加油呀，一起成长,0.9959
求个up主的店铺,2021-03-29 17:47:38,4,评论,求个up主的店铺,0.3281
