,word,count
602,老师,10
603,圣枪,10
604,第一个,10
605,fpx,10
606,替补,10
607,愿望,10
608,减肥,10
609,faker,10
610,可汗,10
611,太过,10
612,21,10
613,峡谷,10
614,心中,10
615,全华班,10
616,宿管,10
617,阿姨,10
618,不负众望,10
619,聚焦,10
620,操作,10
621,说话,10
622,好多年,10
623,感到,10
624,来之不易,10
625,一声,10
626,程度,10
627,职业,10
628,事儿,10
629,元气,10
630,马桶,10
631,福利,9
632,道歉,9
633,太高,9
634,期望,9
635,越来越,9
636,不让,9
637,时隔,9
638,今日,9
639,热泪盈眶,9
640,勇夺,9
641,回到,9
642,人能,9
643,冠军队,9
644,每次,9
645,YDS,9
646,棒子,9
647,续约,9
648,想到,9
649,版本,9
650,网吧,9
651,燃起,9
652,喜悦,9
653,哥们,9
654,生活,9
655,第五,9
656,锡安,9
657,解放,9
658,小熊,9
659,现实,9
660,信徒,9
661,太难,9
662,工作,9
663,不愧,9
664,31,9
665,当年,9
666,一堆,9
667,冷静,9
668,义不容辞,9
669,我家,9
670,MSI,9
671,椅子,9
672,好事,9
673,嗓子,9
674,这波,9
675,多人,9
676,一夜,9
677,有幸,9
678,JIE,9
679,面对,9
680,一早,9
681,第七年,9
682,第一把,9
683,没错,9
684,丢人,9
685,我立,9
686,屠龙,9
687,外面,9
688,采访,9
689,平时,9
690,正确,9
691,借口,9
692,正常人,9
693,警察,9
694,奶子,9
695,背锅,9
696,广州,8
697,包围,8
698,回家,8
699,黑暗,8
700,队服,8
701,那天,8
702,发生,8
703,mvp,8
704,小心,8
705,坚守,8
706,方式,8
707,去年,8
708,26w,8
709,保佑,8
710,此刻,8
711,起飞,8
712,阵容,8
713,儿子,8
714,这条,8
715,很强,8
716,图片,8
717,忍不住,8
718,枪哥,8
719,老将,8
720,凤凰,8
721,美好,8
722,早上好,8
723,回报,8
724,杰斯,8
725,上岸,8
726,大喊,8
727,流批,8
728,万岁,8
729,佐伊厄斐,8
730,回国,8
731,异地,8
732,披荆斩棘,8
733,三支,8
734,预测,8
735,回复,8
736,不到,8
737,扰乱,8
738,争光,8
739,oh,8
740,立冬,8
741,表白,8
742,妹扣,8
743,付出,8
744,记忆,8
745,热闹,8
746,大喊大叫,8
747,卫冕冠军,8
748,edgNB,8
749,回不来,8
750,如你所愿,8
751,13,8
752,更好,8
753,4396,8
754,抽个,8
755,逼真,8
756,李佐伊,8
757,一种,8
758,结局,8
759,初雪,8
760,宇宙,8
761,人生,8
762,封神,8
763,集体,8
764,害怕,8
765,淀宝,8
766,很燃,8
767,自豪,8
768,动作,8
769,这场,8
770,厕所,8
771,回归,8
772,金色,8
773,第一局,8
774,这座,8
775,好不容易,8
776,一口气,8
777,没见,8
778,观赛,8
779,双败,8
780,下头,8
781,安心,7
782,前行,7
783,战歌,7
784,季后赛,7
785,做个,7
786,一大早,7
787,一步,7
788,202,7
