,Unnamed: 0,word,count,情感分值
22246,22246,存活,10,0.0905
22377,22377,站不稳,10,0.0374
22404,22404,what,10,0.0816
22429,22429,骗子,10,0.0262
22475,22475,平方千米,10,0.0618
22616,22616,困死,10,0.0281
22778,22778,手慢,10,0.0589
22790,22790,傻子,10,0.0492
22861,22861,不可不,9,0.0917
22885,22885,受罪,9,0.0565
22907,22907,偏低,9,0.0239
22922,22922,只差,9,0.0584
22928,22928,瘦小,9,0.0784
23026,23026,无人问津,9,0.0944
23050,23050,惹不起,9,0.0232
23060,23060,擦亮眼睛,9,0.0215
23114,23114,欺骗,9,0.0255
23131,23131,一响,9,0.0642
23152,23152,不成问题,9,0.095
23212,23212,冷冷清清,9,0.0782
23277,23277,乏味,9,0.0601
23318,23318,缺失,9,0.0825
23351,23351,倒也不,9,0.0997
23365,23365,硬硬,9,0.0507
23387,23387,单薄,9,0.0202
23486,23486,贪小便宜,9,0.0423
23590,23590,白白浪费,9,0.0275
23607,23607,出事,9,0.0849
23612,23612,脱落,9,0.0686
23648,23648,太黑,9,0.034
23655,23655,盲点,9,0.0422
23720,23720,退出,9,0.0671
23802,23802,打死,9,0.0333
23849,23849,饿坏,9,0.0976
23939,23939,做作,9,0.0386
23944,23944,吐出来,9,0.0671
24044,24044,真不知道,9,0.0991
24110,24110,震耳欲聋,9,0.0646
24113,24113,僵尸,9,0.0382
24152,24152,陷阱,9,0.041
24257,24257,臭蛋,9,0.0222
24301,24301,裂缝,9,0.0872
24321,24321,晓晓不,9,0.0727
24322,24322,一文不值,9,0.0288
24326,24326,只靠,9,0.0778
24341,24341,会太老,9,0.0938
24347,24347,平庸,9,0.0204
24405,24405,烂烂,9,0.0035
24497,24497,卖出,8,0.0991
24559,24559,打雷,8,0.021
24709,24709,欠佳,8,0.0588
24722,24722,不慎,8,0.068
24910,24910,易碎,8,0.0571
24992,24992,他妈,8,0.075
25001,25001,寡淡,8,0.0733
25111,25111,十万八千里,8,0.046
25273,25273,发泄,8,0.0926
25314,25314,不平,8,0.0972
25360,25360,告诫,8,0.0884
25391,25391,需注意,8,0.0905
25398,25398,权利,8,0.0826
25400,25400,白开水,8,0.0616
25415,25415,无一不是,8,0.0356
25549,25549,短板,8,0.0546
25562,25562,不能自己,8,0.0878
25588,25588,松动,8,0.0451
25594,25594,通病,8,0.0328
25598,25598,累瘫,8,0.0725
25631,25631,差劲,8,0.023
25636,25636,下线,8,0.0598
25679,25679,说句实话,8,0.078
25768,25768,出卖,8,0.0499
25773,25773,毫无意义,8,0.0686
25780,25780,答复,8,0.0769
25870,25870,不济,8,0.0823
26021,26021,有害,8,0.0899
26044,26044,岛鬼,8,0.0918
26088,26088,差内,8,0.0854
26166,26166,闻所未闻,8,0.0977
26344,26344,破灭,7,0.0844
26383,26383,脏东西,7,0.0665
26394,26394,老掉牙,7,0.0336
26432,26432,龟速,7,0.0946
26478,26478,烫手,7,0.0918
26552,26552,一声声,7,0.0408
26568,26568,太普通,7,0.0471
26642,26642,仅此而已,7,0.0723
26667,26667,污渍,7,0.0847
26763,26763,悲哀,7,0.0275
26779,26779,响当当,7,0.0459
26804,26804,土猪,7,0.0864
26982,26982,不对劲,7,0.0383
26985,26985,差到,7,0.0668
27092,27092,不接,7,0.0968
27128,27128,重启,7,0.0472
27141,27141,太惨,7,0.0406
27150,27150,突突,7,0.0593
27299,27299,刮伤,7,0.0919
27310,27310,无福消受,7,0.0317
27379,27379,避不开,7,0.0985
27384,27384,上当受骗,7,0.0109
27524,27524,右下角,7,0.0929
27600,27600,矫情,7,0.0749
27631,27631,钢丝,7,0.0393
27665,27665,得不到,7,0.0822
27690,27690,薄肉,7,0.0508
27744,27744,拖拖,7,0.0286
27745,27745,烂尾,7,0.0983
27796,27796,减弱,7,0.0863
27802,27802,bug,7,0.083
27897,27897,没完没了,7,0.0708
27943,27943,屁股痛,7,0.0695
27964,27964,诡异,7,0.0403
27983,27983,事不宜迟,7,0.0646
28050,28050,恼火,7,0.0504
28056,28056,怂胆,7,0.0479
28070,28070,情节严重,7,0.0732
28106,28106,下岗工人,7,0.0804
28140,28140,冻坏,7,0.0975
28233,28233,一狗,7,0.0882
28287,28287,不能取消,7,0.0447
28340,28340,理气,7,0.0662
28400,28400,较慢,6,0.0476
28427,28427,太淡,6,0.0999
28572,28572,别扭,6,0.0717
28600,28600,生硬,6,0.0319
28733,28733,破船,6,0.0715
28832,28832,坑坑,6,0.0145
28851,28851,苍白无力,6,0.0129
28887,28887,行不行,6,0.0671
28904,28904,不短,6,0.0847
28918,28918,拖网,6,0.0866
29047,29047,防宰,6,0.0903
29070,29070,人吐槽,6,0.0392
29084,29084,毁掉,6,0.0582
29087,29087,回锅,6,0.0748
29092,29092,很烂,6,0.0163
29096,29096,破破烂烂,6,0.0032
29111,29111,旧时代,6,0.0975
29142,29142,烫烫,6,0.0732
29163,29163,枯不烂石,6,0.0306
29206,29206,极低,6,0.0846
29211,29211,杂乱无章,6,0.0669
29302,29302,无良,6,0.0408
29369,29369,一塌糊涂,6,0.0559
29384,29384,新闻报道,6,0.0406
29394,29394,平淡无奇,6,0.0774
29413,29413,势力,6,0.083
29441,29441,笨重,6,0.0861
29575,29575,变差,6,0.0714
29665,29665,太困,6,0.0443
29696,29696,乱丢垃圾,6,0.0127
29728,29728,回扣,6,0.0431
29791,29791,索然无味,6,0.0138
29805,29805,草率,6,0.0917
29809,29809,抄袭,6,0.0153
29896,29896,太窄,6,0.0531
29897,29897,不值钱,6,0.0835
29919,29919,祸害,6,0.0254
29935,29935,想吐槽,6,0.0389
29946,29946,难闻,6,0.0677
30015,30015,鬼使神差,6,0.0732
30108,30108,同情,6,0.0179
30205,30205,小黑点,6,0.0843
30251,30251,不合,6,0.0682
30267,30267,值不值,6,0.0787
30285,30285,暂未,6,0.0858
30289,30289,心眼,6,0.057
30326,30326,太丑,6,0.0325
30384,30384,晕晕乎乎,6,0.0963
30436,30436,只敢,6,0.0925
30479,30479,比较落后,6,0.0539
30524,30524,演变成,6,0.0696
30630,30630,完蛋,6,0.0507
30763,30763,德行,6,0.0705
31034,31034,法律法规,6,0.0369
31169,31169,没查,5,0.0985
31171,31171,猫腻,5,0.0292
31278,31278,嘈杂声,5,0.0644
31376,31376,发虚,5,0.0686
31382,31382,花蛤肉,5,0.0869
31508,31508,缩水,5,0.0963
31570,31570,热晕,5,0.0967
31588,31588,乱来,5,0.0658
31597,31597,扫兴,5,0.0778
31622,31622,慢煮,5,0.09
31654,31654,暗沉,5,0.0385
31748,31748,逃不了,5,0.0535
31749,31749,认命,5,0.0612
31753,31753,得不偿失,5,0.0637
31797,31797,判是,5,0.0849
31873,31873,卡死,5,0.0615
31897,31897,牵强,5,0.0169
31898,31898,欺客,5,0.0409
31914,31914,低点,5,0.0918
31970,31970,脆响,5,0.0947
31971,31971,忠告,5,0.0568
32050,32050,不剧,5,0.0884
32105,32105,变质,5,0.0606
32187,32187,打折扣,5,0.0835
32211,32211,如雷,5,0.0426
32219,32219,归巢,5,0.09
32427,32427,大失所望,5,0.0136
32428,32428,败笔,5,0.0465
32487,32487,不费妈,5,0.0435
32495,32495,鸡胸肉,5,0.0975
32620,32620,黑心,5,0.0255
32820,32820,闹肚子,5,0.0244
32899,32899,非常低,5,0.0828
32926,32926,所致,5,0.0837
32978,32978,啧啧称奇,5,0.0568
33001,33001,晕浪,5,0.062
33032,33032,不算什么,5,0.0591
33084,33084,装逼,5,0.0724
33184,33184,太烂,5,0.0097
33193,33193,过桥费,5,0.0902
33232,33232,太懒,5,0.0864
33236,33236,不好受,5,0.0668
33290,33290,既然如此,5,0.0663
33325,33325,知州,5,0.0928
33332,33332,噪点,5,0.0751
33359,33359,低下,5,0.0746
33363,33363,争执,5,0.0956
33371,33371,狗生,5,0.0643
33409,33409,可恨,5,0.0393
33466,33466,态度恶劣,5,0.0197
33495,33495,脏脏,5,0.0246
33565,33565,灰暗,5,0.0704
33714,33714,大跌眼镜,5,0.0482
33756,33756,缺陷,5,0.0814
33786,33786,有点烦,5,0.0875
33793,33793,时好时坏,5,0.0984
33854,33854,愤怒,5,0.0315
33856,33856,宝妈,5,0.0963
33874,33874,令人发指,5,0.0878
33897,33897,不大种,5,0.0698
33908,33908,哪敢,5,0.0992
34007,34007,差会,5,0.0401
34037,34037,太软,5,0.0712
34071,34071,很难说,5,0.0695
34109,34109,势欲颠,5,0.0925
34162,34162,颇费,5,0.0851
34166,34166,不落俗套,5,0.0587
34190,34190,破次,5,0.0612
34195,34195,炖烂,5,0.0716
34283,34283,俗套,5,0.0894
34325,34325,几台,5,0.0926
34331,34331,不伦不类,5,0.0227
34361,34361,不讲道理,5,0.072
34493,34493,洗碗,5,0.0825
34503,34503,开水烫,5,0.0469
34592,34592,女同胞,5,0.0987
34763,34763,当学徒,5,0.0546
34916,34916,白眼,4,0.0615
34948,34948,设计费,4,0.0846
34979,34979,隔脏,4,0.0533
35052,35052,粗鲁,4,0.0399
35146,35146,发怒,4,0.0569
35231,35231,坑骗,4,0.0129
35313,35313,负面新闻,4,0.0751
35549,35549,行不通,4,0.0333
35620,35620,丢人,4,0.0569
35662,35662,乍一听,4,0.0886
35779,35779,枯不烂,4,0.0113
35793,35793,客观因素,4,0.055
35852,35852,虎头蛇尾,4,0.0745
35891,35891,过期作废,4,0.0775
35912,35912,太招,4,0.0964
36046,36046,小孙子,4,0.0788
36161,36161,丑陋,4,0.0221
36266,36266,称不上,4,0.0931
36329,36329,手托,4,0.0364
36384,36384,味精,4,0.0501
36485,36485,破旧不堪,4,0.0354
36496,36496,滚开,4,0.0979
36526,36526,较弱,4,0.0269
36545,36545,费力气,4,0.0755
36616,36616,傲慢,4,0.0621
36637,36637,爸祺妈,4,0.0956
36729,36729,咸咸,4,0.0995
36779,36779,标榜,4,0.0879
36800,36800,大杂烩,4,0.0386
36804,36804,一肚子,4,0.0516
36829,36829,左下方,4,0.0735
36887,36887,上慢,4,0.0853
36924,36924,旧石器,4,0.0776
36962,36962,发暗,4,0.0753
37077,37077,饮醉,4,0.0883
37109,37109,吸取教训,4,0.0483
37135,37135,砍成,4,0.097
37141,37141,堕落,4,0.0245
37233,37233,我爹,4,0.0387
37239,37239,职业病,4,0.0886
37242,37242,太老,4,0.0741
37277,37277,荡然无存,4,0.092
37331,37331,自虐,4,0.0978
37336,37336,肚子疼,4,0.0749
37393,37393,双目,4,0.0447
37420,37420,水太凉,4,0.0744
37453,37453,一再强调,4,0.0406
37477,37477,拼凑,4,0.0602
37514,37514,费钱,4,0.0934
37622,37622,骂人,4,0.0353
37636,37636,太硬,4,0.0359
37637,37637,不信邪,4,0.0479
37654,37654,乱哄哄,4,0.0535
37679,37679,说白了,4,0.0942
37683,37683,真是假,4,0.0104
37688,37688,划不来,4,0.0961
37690,37690,差个,4,0.0462
37763,37763,龟探,4,0.0614
37768,37768,不抱,4,0.0807
37784,37784,狗进,4,0.0689
37827,37827,落魄,4,0.0831
37869,37869,满怀希望,4,0.067
37903,37903,一问三不知,4,0.0723
37904,37904,声称,4,0.083
38078,38078,滚装船,4,0.0986
38082,38082,搞不清楚,4,0.0931
38155,38155,气愤,4,0.0205
38172,38172,糊糊,4,0.0714
38176,38176,不涩,4,0.0683
38192,38192,害死,4,0.0272
38206,38206,被关,4,0.0953
38228,38228,更慢,4,0.0477
38238,38238,实话实说,4,0.0898
38252,38252,龟龟,4,0.0137
38305,38305,差多,4,0.0874
38309,38309,搏浪,4,0.075
38316,38316,太浅,4,0.068
38338,38338,累赘,4,0.0941
38429,38429,后果自负,4,0.0659
38440,38440,抖动,4,0.0521
38463,38463,一坑,4,0.06
38470,38470,编个,4,0.0613
38561,38561,退钱,4,0.0559
38576,38576,吐掉,4,0.0408
38579,38579,不利,4,0.0619
38644,38644,吐水,4,0.0507
38683,38683,童年阴影,4,0.0325
38705,38705,太苦,4,0.0955
38709,38709,就此打住,4,0.0934
38838,38838,时告,4,0.0477
38892,38892,饿晕,4,0.0851
38916,38916,难不成,4,0.0422
38919,38919,氯雷,4,0.0307
38922,38922,毫无关系,4,0.0344
38938,38938,不醉,4,0.0601
38963,38963,过低,4,0.0555
39177,39177,劝告,4,0.065
39196,39196,大不如前,4,0.0694
39249,39249,时需,4,0.0851
39405,39405,幌子,4,0.0909
39434,39434,吐得,4,0.0583
39475,39475,虚高,4,0.0256
39484,39484,马达声,4,0.0969
39505,39505,真难,4,0.0479
39564,39564,黑透,4,0.0962
39685,39685,破壳,4,0.0486
39690,39690,很烦,4,0.0861
39731,39731,打劫,4,0.0909
39811,39811,低档,4,0.0829
39826,39826,不屑,4,0.0783
39827,39827,开裂,4,0.0925
39834,39834,脏得,4,0.0624
39846,39846,更难,4,0.0733
39881,39881,怪怪,4,0.083
39954,39954,理毛,4,0.0399
40007,40007,色素,4,0.0992
40028,40028,更新换代,4,0.0792
40105,40105,编为,4,0.0756
40172,40172,致癌,4,0.0682
