,name,time,content,transmit,comment,praise,emotion_score
216,山西发布,04-09,致敬每一个忙碌的身影近期，山西太原、晋中、临汾和运城相继发生输入性局部疫情，外防输入压力巨大，内防反弹任务繁重。此次疫情发生后，被划为管控区的小店街道立即启动应急预案，同步实施区域化、网格化、包联制等不同管控措施，力争在最短的时间内，构筑起一张疫情防控网。戳链接→,1,0,0,0.9499
218,寿县发布,04-09,县疫情防控指挥部召开工作会商会4月7日晚，县委书记、县新冠肺炎疫情防控应急综合指挥部指挥长牛方括主持召开县疫情防控指挥部工作会商会，县领导李琼、王亚晖、牛斌、洪毅然、袁东、胡玉强、李景练、李家明、卢胜、邓祖洋、谢超、姚忠及县疫情防控应急处置“一办十二组”、寿春镇等负责同志参加会 ​,0,0,0,0.9718
219,潮涌灯湖-南海桂城,04-09,疫情防控,0,0,0,0.3158
220,武汉机场楚天情,04-09,乘机小贴士,0,0,0,0.6775
221,Gaby1013,04-09,上海新增本土确诊1015例无症状2609例,0,2,2,0.6641
222,陕西网,04-09,陕西疫情快讯,0,0,1,0.309
223,meira333,04-09,广州核酸,0,1,5,0.81
224,新浪福建,04-09,福建医疗队将接管上海世博方舱医院,14,29,86,0.3037
225,每日经济新闻,04-09,江苏首个服务上海的方舱医院正式开舱,0,0,2,0.9369
226,地产大婶,04-09,上海疫情,0,2,2,0.632
227,陆建华摄影,04-09,无锡疫情防控措施有所调整，据最新消息，商业综合体、超市、医疗卫生机构、公共交通、药店、建筑工地等暂不执行48小时核酸检测报告准入措施，凭门铃码绿码可进入。,0,3,0,0.1209
228,我去个嘞个嘞,04-09,上海新增本土确诊1015例无症状2609例,0,2,5,0.6641
229,昆明轨道交通集团有限公司,04-09,注意啦！你的这些行为可能涉嫌违法！昆明地铁发布最新提示,0,0,0,0.0239
