title,time,country,type,comment,quote,number
傲慢与偏见,2005, 法国 英国 美国 , 剧情 爱情                        ,682420人评价,爱是摈弃傲慢与偏见之后的曙光。,8.7
玩具总动员3,2010, 美国 , 喜剧 动画 奇幻 冒险                        ,440845人评价,跨度十五年的欢乐与泪水。,8.9
釜山行,2016, 韩国 , 动作 惊悚 灾难                        ,1033174人评价,揭露人性的丧尸题材力作。,8.6
恐怖直播,2013, 韩国 , 剧情 犯罪 悬疑                        ,566793人评价,恐怖分子的“秋菊打官司”。,8.7
一个叫欧维的男人决定去死,2015, 瑞典 , 剧情                        ,376946人评价,惠及一生的美丽。,8.9
哪吒闹海,1979, 中国大陆 , 冒险 动画 奇幻                        ,221019人评价,想你时你在闹海。,9.1
被解救的姜戈,2012, 美国 , 剧情 动作 西部 冒险                        ,524532人评价,热血沸腾，那个低俗、性感的无耻混蛋又来了。,8.8
血战钢锯岭,2016, 澳大利亚 美国 , 剧情 传记 历史 战争                        ,691021人评价,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,8.7
未麻的部屋,1997, 日本 , 动画 奇幻 惊悚                        ,261786人评价,好的剧本是，就算你猜到了结局也猜不到全部。,9.0
头号玩家,2018, 美国 , 动作 科幻 冒险                        ,1196979人评价,写给影迷，动漫迷和游戏迷的一封情书。,8.7
我是山姆,2001, 美国 , 剧情 家庭                        ,281644人评价,爱并不需要智商 。,9.0
七武士,1954, 日本 , 动作 冒险 剧情                        ,167582人评价,时代悲歌。,9.3
喜宴,1993, 中国台湾 美国 , 剧情 喜剧 爱情 同性 家庭                        ,298901人评价,中国家庭的喜怒哀乐忍。,8.9
新世界,2013, 韩国 , 剧情 犯罪                        ,332227人评价,要做就做得狠一点，这样才能活下去。,8.9
电锯惊魂,2004, 美国 , 悬疑 惊悚 恐怖                        ,455000人评价,真相就在眼前。,8.8
模仿游戏,2014, 英国 美国 , 剧情 传记 战争 同性                        ,541128人评价,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,8.7
黑客帝国3：矩阵革命,2003, 美国 , 动作 科幻                        ,383615人评价,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,8.8
花样年华,2000, 中国香港 , 剧情 爱情                        ,509015人评价,偷情本没有这样美。,8.7
卢旺达饭店,2004, 英国 南非 意大利 美国 , 剧情 传记 历史 战争                        ,278531人评价,当这个世界闭上双眼，他却敞开了怀抱。,8.9
上帝之城,2002, 巴西 法国 , 犯罪 剧情                        ,267918人评价,被上帝抛弃了的上帝之城。,9.0
三块广告牌,2017, 美国 英国 , 剧情 犯罪                        ,720437人评价,怼天怼地，你走后，她与世界为敌。,8.7
疯狂原始人,2013, 美国 , 喜剧 动画 冒险                        ,745722人评价,老少皆宜，这就是好莱坞动画的魅力。,8.7
风之谷,1984, 日本 , 动画 奇幻 冒险                        ,318908人评价,动画片的圣经。,8.9
你的名字。,2016, 日本 , 剧情 爱情 动画                        ,1205837人评价,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,8.5
谍影重重3,2007, 美国 德国 , 动作 悬疑 惊悚                        ,369142人评价,像吃了苏打饼一样干脆的电影。,8.8
英雄本色,1986, 中国香港 , 剧情 动作 犯罪                        ,456887人评价,英雄泪短，兄弟情长。 ,8.6
头脑特工队,2015, 美国 , 喜剧 动画 冒险                        ,518357人评价,愿我们都不用长大，每一座城堡都能永远存在。,8.7
达拉斯买家俱乐部,2013, 美国 , 剧情 传记 同性                        ,392152人评价,Jared Leto的腿比女人还美！,8.8
纵横四海,1991, 中国香港 , 剧情 喜剧 动作 犯罪                        ,360420人评价,香港浪漫主义警匪动作片的巅峰之作。,8.8
心迷宫,2014, 中国大陆 , 剧情 犯罪 悬疑                        ,437507人评价,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,8.7
岁月神偷,2010, 中国香港 中国大陆 , 剧情 家庭                        ,522473人评价,岁月流逝，来日可追。,8.7
记忆碎片,2000, 美国 , 犯罪 剧情 悬疑 惊悚                        ,533424人评价,一个针管引发的血案。,8.7
