Source	Target	Type	Weight
景点	特色	Undirected	11
景点	全程	Undirected	10
景点	距离	Undirected	15
景点	早餐	Undirected	28
景点	市区	Undirected	10
热情	地方	Undirected	20
热情	时间	Undirected	13
热情	行李	Undirected	19
热情	布置	Undirected	27
热情	用品	Undirected	22
热情	民宿	Undirected	109
热情	床	Undirected	23
热情	管家	Undirected	20
热情	行程	Undirected	10
热情	美食	Undirected	11
热情	风景	Undirected	22
热情	房子	Undirected	38
热情	房东	Undirected	101
热情	设施	Undirected	54
热情	朋友	Undirected	33
热情	交通	Undirected	41
热情	价格	Undirected	16
热情	店	Undirected	17
热情	感觉	Undirected	56
热情	空调	Undirected	16
热情	前台	Undirected	36
热情	服务态度	Undirected	16
热情	环境	Undirected	70
热情	性价比	Undirected	37
热情	停车场	Undirected	13
热情	家庭	Undirected	13
热情	图片	Undirected	13
热情	机会	Undirected	22
热情	用心	Undirected	21
热情	散步	Undirected	12
热情	游玩	Undirected	20
热情	美女	Undirected	10
热情	景区	Undirected	14
热情	孩子	Undirected	17
热情	床品	Undirected	13
热情	客人	Undirected	13
热情	路线	Undirected	10
热情	环境优美	Undirected	10
热情	店家	Undirected	18
热情	步行	Undirected	18
热情	老板	Undirected	98
热情	体验	Undirected	39
热情	味道	Undirected	11
热情	特色	Undirected	23
热情	卫生间	Undirected	13
热情	老板娘	Undirected	19
热情	啤酒	Undirected	10
热情	工作人员	Undirected	19
热情	家人	Undirected	12
热情	距离	Undirected	12
热情	总体	Undirected	11
热情	细心	Undirected	11
热情	细节	Undirected	12
热情	马桶	Undirected	12
热情	房	Undirected	11
热情	景色	Undirected	14
热情	建议	Undirected	15
热情	店里	Undirected	17
热情	枕头	Undirected	12
热情	早餐	Undirected	70
热情	小朋友	Undirected	11
热情	人员	Undirected	13
热情	观景台	Undirected	12
热情	别墅	Undirected	11
热情	油条	Undirected	18
热情	浴缸	Undirected	10
热情	咖啡	Undirected	17
热情	梯田	Undirected	13
地方	行李	Undirected	14
地方	房间	Undirected	54
地方	民宿	Undirected	51
地方	风景	Undirected	11
地方	房子	Undirected	12
地方	房东	Undirected	18
地方	设施	Undirected	12
地方	交通	Undirected	12
地方	价格	Undirected	10
地方	感觉	Undirected	16
地方	前台	Undirected	10
地方	环境	Undirected	12
