Unnamed: 0,region,rank,happiness,gdp_per_capita,healthy_life_expectancy,freedom_to_life_choise,corruption_perceptions,generosity,year
0,Switzerland,1,7.5870000000000015,1.39651,0.94143,0.66557,0.41978,0.29678000000000004,2015
1,Iceland,2,7.561,1.30232,0.94784,0.6287699999999999,0.14145,0.4363,2015
2,Denmark,3,7.527,1.32548,0.87464,0.6493800000000001,0.48357,0.34139,2015
3,Norway,4,7.522,1.459,0.88521,0.66973,0.36503,0.34699,2015
4,Canada,5,7.427,1.32629,0.90563,0.63297,0.32957,0.45811,2015
5,Finland,6,7.4060000000000015,1.29025,0.8891100000000001,0.64169,0.41372,0.23351,2015
6,Netherlands,7,7.377999999999999,1.32944,0.89284,0.6157600000000001,0.31814000000000003,0.4761,2015
7,Sweden,8,7.364,1.33171,0.91087,0.6598,0.43844,0.36262,2015
8,New Zealand,9,7.286,1.2501799999999998,0.90837,0.6393800000000001,0.42922,0.47501,2015
9,Australia,10,7.284,1.33358,0.93156,0.6512399999999999,0.35637,0.43562,2015
10,Israel,11,7.278,1.2285700000000002,0.91387,0.41319,0.07785,0.33172,2015
11,Costa Rica,12,7.226,0.95578,0.8602700000000001,0.63376,0.10583,0.25497,2015
12,Austria,13,7.2,1.33723,0.8904200000000001,0.62433,0.18676,0.33088,2015
13,Mexico,14,7.187,1.02054,0.8144399999999999,0.48181,0.21312,0.14074,2015
14,United States,15,7.119,1.39451,0.86179,0.54604,0.1589,0.40105,2015
15,Brazil,16,6.983,0.98124,0.69702,0.49049,0.17521,0.14574,2015
16,Luxembourg,17,6.9460000000000015,1.56391,0.91894,0.61583,0.37798,0.28034000000000003,2015
17,Ireland,18,6.94,1.33596,0.89533,0.6177699999999999,0.28703,0.45901,2015
18,Belgium,19,6.937,1.30782,0.8966700000000001,0.5845,0.2254,0.2225,2015
19,United Arab Emirates,20,6.901,1.42727,0.80925,0.64157,0.38583,0.26428,2015
20,United Kingdom,21,6.867000000000001,1.26637,0.90943,0.59625,0.32067,0.51912,2015
21,Oman,22,6.853,1.36011,0.76276,0.63274,0.32524000000000003,0.21542,2015
22,Venezuela,23,6.81,1.04424,0.7205199999999999,0.42908,0.11069,0.05841,2015
23,Singapore,24,6.797999999999999,1.52186,1.02525,0.54252,0.4921,0.31105,2015
24,Panama,25,6.7860000000000005,1.06353,0.79661,0.5421,0.0927,0.24434,2015
25,Germany,26,6.75,1.32792,0.89186,0.6147699999999999,0.21843,0.28214,2015
26,Chile,27,6.67,1.10715,0.85857,0.44132,0.12869,0.33363000000000004,2015
27,Qatar,28,6.6110000000000015,1.69042,0.79733,0.6404,0.52208,0.32573,2015
28,France,29,6.575,1.27778,0.94579,0.55011,0.20646,0.12332,2015
29,Argentina,30,6.574,1.05351,0.78723,0.44974,0.08484,0.11451,2015
30,Czech Republic,31,6.505,1.17898,0.84483,0.46364,0.02652,0.10686,2015
31,Uruguay,32,6.485,1.06166,0.8116,0.6036199999999999,0.24558,0.2324,2015
32,Colombia,33,6.477,0.91861,0.69077,0.53466,0.0512,0.18401,2015
33,Thailand,34,6.455,0.9669,0.7385,0.5566399999999999,0.03187,0.5763,2015
34,Saudi Arabia,35,6.4110000000000005,1.39541,0.72025,0.31048000000000003,0.32524000000000003,0.13706,2015
35,Spain,36,6.329,1.23011,0.95562,0.45951,0.06398,0.18227,2015
36,Malta,37,6.3020000000000005,1.2074,0.88721,0.60365,0.13585999999999998,0.51752,2015
37,Taiwan,38,6.297999999999999,1.29098,0.8753,0.3974,0.08129,0.25376,2015
38,Kuwait,39,6.295,1.5542200000000002,0.72492,0.55499,0.25609,0.16228,2015
39,Suriname,40,6.269,0.99534,0.6082,0.5965699999999999,0.13633,0.16990999999999998,2015
40,Trinidad and Tobago,41,6.167999999999998,1.21183,0.61483,0.55884,0.0114,0.31844,2015
41,El Salvador,42,6.13,0.76454,0.67737,0.4035,0.11776,0.10692,2015
42,Guatemala,43,6.122999999999998,0.74553,0.64425,0.57733,0.09472,0.27489,2015
43,Uzbekistan,44,6.002999999999999,0.63244,0.59772,0.6582100000000001,0.30826,0.22837,2015
44,Slovakia,45,5.995,1.16891,0.7890199999999999,0.31751,0.03431,0.16893,2015
45,Japan,46,5.987,1.27074,0.99111,0.49615,0.1806,0.10705,2015
46,South Korea,47,5.984,1.24461,0.96538,0.33208000000000004,0.07857,0.18557,2015
47,Ecuador,48,5.975,0.8640200000000001,0.79075,0.48574,0.1809,0.11540999999999997,2015
48,Bahrain,49,5.96,1.32376,0.74716,0.45492,0.306,0.17362,2015
49,Italy,50,5.948,1.25114,0.95446,0.26236,0.02901,0.22823,2015
50,Bolivia,51,5.89,0.68133,0.5392,0.57414,0.08800000000000001,0.20536,2015
51,Moldova,52,5.8889999999999985,0.59448,0.61826,0.32818,0.01615,0.20951,2015
52,Paraguay,53,5.877999999999999,0.75985,0.66098,0.53899,0.08242000000000001,0.3424,2015
53,Kazakhstan,54,5.855,1.12254,0.64368,0.51649,0.08454,0.11827,2015
54,Slovenia,55,5.848,1.18498,0.8733700000000001,0.60855,0.03787,0.25328,2015
55,Lithuania,56,5.832999999999998,1.14723,0.73128,0.21342,0.01031,0.026410000000000003,2015
56,Nicaragua,57,5.8279999999999985,0.59325,0.7431399999999999,0.55475,0.19317,0.27815,2015
57,Peru,58,5.824,0.9001899999999999,0.73017,0.4149600000000001,0.05989,0.14982,2015
58,Belarus,59,5.813,1.0319200000000002,0.7360800000000001,0.37938,0.1909,0.11046,2015
59,Poland,60,5.791,1.12555,0.77903,0.53122,0.04212,0.16759000000000002,2015
60,Malaysia,61,5.77,1.12486,0.7239399999999999,0.5302399999999999,0.10501,0.33075,2015
61,Croatia,62,5.759,1.08254,0.78805,0.25883,0.0243,0.05444,2015
62,Libya,63,5.754,1.13145,0.7038,0.41668,0.11023,0.18295,2015
