Unnamed: 0,region,rank,happiness,gdp_per_capita,healthy_life_expectancy,freedom_to_life_choise,corruption_perceptions,generosity,year
68,Cyprus,69,5.546,1.31857,0.8488,0.29507,0.052279999999999986,0.27906,2016
69,Paraguay,70,5.5379999999999985,0.8937299999999999,0.58295,0.46235,0.07396,0.25296,2016
70,Romania,71,5.528,1.1697,0.67602,0.36712,0.006790000000000001,0.12889,2016
71,Estonia,72,5.517,1.27964,0.68098,0.41511,0.18519,0.08423,2016
72,Jamaica,73,5.51,0.89333,0.5946899999999999,0.43597,0.04294,0.22245,2016
73,Croatia,74,5.488,1.18649,0.70524,0.23907,0.04002,0.18434,2016
74,Hong Kong,75,5.457999999999998,1.5107,0.95277,0.48079,0.31647,0.40097,2016
75,Somalia,76,5.44,0.0,0.11465999999999997,0.5677800000000001,0.3118,0.27225,2016
76,Kosovo,77,5.401,0.90145,0.54,0.14396,0.06547,0.27992,2016
77,Turkey,78,5.3889999999999985,1.1649200000000002,0.64718,0.23889,0.12348,0.04707,2016
78,Indonesia,79,5.314,0.95104,0.49374,0.39237,0.00322,0.56521,2016
79,Jordan,80,5.303,0.99673,0.60712,0.36023,0.13297,0.14262,2016
80,Azerbaijan,81,5.291,1.12373,0.54504,0.35327,0.17914000000000002,0.0564,2016
81,Philippines,82,5.279,0.81217,0.4703600000000001,0.5485399999999999,0.11757,0.21674,2016
82,China,83,5.245,1.0278,0.73561,0.44012,0.02745,0.04959,2016
83,Bhutan,84,5.1960000000000015,0.8527,0.49759,0.46074,0.1616,0.4854600000000001,2016
84,Kyrgyzstan,85,5.185,0.5604399999999999,0.5544899999999999,0.40212,0.04762,0.38432,2016
85,Serbia,86,5.1770000000000005,1.03437,0.6458,0.15718,0.04339,0.20737,2016
86,Bosnia and Herzegovina,87,5.1629999999999985,0.93383,0.7076600000000001,0.09511,0.0,0.29889,2016
87,Montenegro,88,5.1610000000000005,1.07838,0.6353300000000001,0.15111,0.12721,0.17190999999999998,2016
88,Dominican Republic,89,5.155,1.02787,0.5766899999999999,0.52259,0.12372,0.21286,2016
89,Morocco,90,5.151,0.8405799999999999,0.5947100000000001,0.25646,0.08404,0.04053,2016
90,Hungary,91,5.145,1.24142,0.67608,0.1977,0.04472,0.099,2016
91,Pakistan,92,5.1320000000000014,0.68816,0.40306,0.14622000000000002,0.1388,0.31185,2016
92,Lebanon,93,5.129,1.12268,0.76171,0.26228,0.03061,0.23693000000000006,2016
93,Portugal,94,5.122999999999998,1.27607,0.7936300000000001,0.44727,0.01521,0.11691,2016
94,Macedonia,95,5.121,1.0193,0.6473800000000001,0.27668000000000004,0.07047,0.23507,2016
95,Vietnam,96,5.061,0.74037,0.66157,0.5595399999999999,0.11556,0.25075,2016
96,Somaliland Region,97,5.057,0.25558000000000003,0.33108000000000004,0.3913,0.36794,0.51479,2016
97,Tunisia,98,5.045,0.97724,0.59577,0.23553,0.0817,0.03936,2016
98,Greece,99,5.033,1.24886,0.80029,0.058220000000000015,0.04127,0.0,2016
99,Tajikistan,100,4.996,0.48835,0.5311899999999999,0.43408,0.13509000000000002,0.25998000000000004,2016
100,Mongolia,101,4.907,0.98853,0.55469,0.35972,0.03285,0.34539000000000003,2016
101,Laos,102,4.876,0.68042,0.38291,0.52168,0.22423,0.43079,2016
102,Nigeria,103,4.875,0.75216,0.05108,0.27854,0.0305,0.23219,2016
103,Honduras,104,4.871,0.69429,0.5838300000000001,0.26755,0.06906,0.2044,2016
104,Iran,105,4.813,1.11758,0.64232,0.22544,0.0557,0.38538,2016
105,Zambia,106,4.795,0.61202,0.23573,0.42662,0.11479,0.17866,2016
106,Nepal,107,4.793,0.4462600000000001,0.50073,0.37012,0.07007999999999999,0.3816,2016
107,Palestinian Territories,108,4.754,0.67024,0.56844,0.17744,0.10613,0.11154,2016
108,Albania,109,4.655,0.9553,0.73007,0.31866,0.05301,0.1684,2016
109,Bangladesh,110,4.643,0.54177,0.52989,0.39778,0.12583,0.19132,2016
110,Sierra Leone,111,4.635,0.36485,0.0,0.30685,0.08196,0.23897,2016
111,Iraq,112,4.575,1.07474,0.51076,0.24856,0.13635999999999998,0.19589,2016
112,Namibia,113,4.574,0.93287,0.34745,0.48614,0.10398,0.07795,2016
113,Cameroon,114,4.513,0.5249699999999999,0.12697999999999998,0.42736,0.06126,0.2268,2016
114,Ethiopia,115,4.508,0.29283000000000003,0.34578000000000003,0.36703,0.1717,0.29522,2016
115,South Africa,116,4.459,1.02416,0.18611,0.42483,0.08415,0.13656,2016
116,Sri Lanka,117,4.415,0.97318,0.62007,0.50817,0.07964,0.46978,2016
117,India,118,4.404,0.74036,0.45091,0.40285,0.08722,0.25028,2016
118,Myanmar,119,4.395,0.34112,0.3988,0.42692,0.20243,0.81971,2016
119,Egypt,120,4.362,0.95395,0.5211600000000001,0.18847,0.10393,0.12705999999999998,2016
120,Armenia,121,4.36,0.8608600000000001,0.64083,0.14037,0.036160000000000005,0.07793,2016
121,Kenya,122,4.356,0.52267,0.30147,0.40576,0.06686,0.41328,2016
122,Ukraine,123,4.324,0.87287,0.58628,0.12859,0.01829,0.20363,2016
123,Ghana,124,4.276,0.63107,0.29681,0.40973,0.0326,0.21203,2016
124,Congo (Kinshasa),125,4.272,0.05661,0.188,0.15602,0.06075,0.25458000000000003,2016
125,Georgia,126,4.252,0.8379200000000001,0.64035,0.32461,0.3188,0.06786,2016
126,Congo (Brazzaville),127,4.2360000000000015,0.7710899999999999,0.28212,0.37938,0.09753,0.12077,2016
127,Senegal,128,4.2189999999999985,0.44314,0.40457,0.31056,0.11681,0.19103,2016
128,Bulgaria,129,4.217,1.11306,0.67806,0.21219,0.00615,0.12793,2016
129,Mauritania,130,4.2010000000000005,0.6139100000000001,0.28639000000000003,0.1268,0.17955,0.22686,2016
130,Zimbabwe,131,4.1930000000000005,0.35041,0.1595,0.25429,0.08582000000000001,0.18503,2016
131,Malawi,132,4.1560000000000015,0.08709,0.29364,0.4143,0.07564,0.30968,2016
132,Sudan,133,4.1389999999999985,0.63069,0.29759,0.0,0.10039,0.18077,2016
133,Gabon,134,4.121,1.15851,0.3494,0.28098,0.09314,0.06244,2016
134,Mali,135,4.073,0.31292,0.16347,0.27544,0.13647,0.21064,2016
135,Haiti,136,4.0280000000000005,0.34097,0.27494,0.12072,0.14476,0.47958,2016
136,Botswana,137,3.974,1.09426,0.34752,0.44089,0.10769,0.12425,2016
137,Comoros,138,3.956,0.27509,0.29981,0.15412,0.18437,0.1827,2016
138,Ivory Coast,139,3.916,0.55507,0.04476,0.40663,0.1553,0.20338,2016
139,Cambodia,140,3.907,0.55604,0.42494,0.5885199999999999,0.08092,0.40339,2016
140,Angola,141,3.866,0.84731,0.04991,0.00589,0.08434,0.12070999999999997,2016
141,Niger,142,3.856,0.1327,0.26162,0.38041,0.17176,0.2097,2016
142,South Sudan,143,3.832,0.39394,0.15780999999999998,0.19662,0.13015,0.25899,2016
143,Chad,144,3.763,0.42214,0.03824,0.12807000000000002,0.04952,0.18667,2016
144,Burkina Faso,145,3.739,0.31995,0.21297,0.3337,0.12533,0.24353,2016
145,Uganda,145,3.739,0.34719,0.19625,0.43653,0.06442,0.27102,2016
146,Yemen,147,3.724,0.57939,0.31048000000000003,0.2287,0.058920000000000014,0.09821,2016
147,Madagascar,148,3.695,0.27954,0.37109,0.13684000000000002,0.07506,0.2204,2016
148,Tanzania,149,3.666,0.47155,0.35700000000000004,0.3176,0.05099,0.31472,2016
149,Liberia,150,3.622,0.10706,0.23165,0.25748000000000004,0.04852,0.24063,2016
150,Guinea,151,3.607,0.22415,0.18829,0.30953,0.1192,0.29914,2016
151,Rwanda,152,3.515,0.32846,0.31865,0.5432,0.50521,0.23552,2016
152,Benin,153,3.484,0.39499,0.21028,0.39747,0.06681000000000001,0.2018,2016
153,Afghanistan,154,3.36,0.38227,0.17344,0.1643,0.07112,0.31268,2016
154,Togo,155,3.303,0.28123000000000004,0.24811,0.34678000000000003,0.11587,0.17517,2016
155,Syria,156,3.069,0.7471899999999999,0.6299399999999999,0.06912,0.17232999999999998,0.48397,2016
156,Burundi,157,2.905,0.06831,0.15747,0.0432,0.09419,0.2029,2016
