Unnamed: 0,rank,region,happiness,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_life_choise,generosity,corruption_perceptions,year
36,37,Colombia,6.26,0.96,1.439,0.635,0.531,0.099,0.039,2018
37,38,Trinidad & Tobago,6.192,1.223,1.492,0.564,0.575,0.171,0.019,2018
38,39,Slovakia,6.172999999999999,1.21,1.537,0.7759999999999999,0.354,0.118,0.014,2018
39,40,El Salvador,6.167000000000002,0.8059999999999999,1.231,0.639,0.461,0.065,0.08199999999999999,2018
40,41,Nicaragua,6.141,0.6679999999999999,1.319,0.7,0.527,0.208,0.128,2018
41,42,Poland,6.122999999999998,1.176,1.4480000000000002,0.7809999999999999,0.546,0.108,0.064,2018
42,43,Bahrain,6.105,1.338,1.366,0.698,0.594,0.243,0.123,2018
43,44,Uzbekistan,6.096,0.7190000000000001,1.584,0.605,0.7240000000000001,0.328,0.259,2018
44,45,Kuwait,6.082999999999998,1.474,1.301,0.675,0.5539999999999999,0.16699999999999998,0.106,2018
45,46,Thailand,6.072,1.016,1.4169999999999998,0.7070000000000001,0.637,0.364,0.029,2018
46,47,Italy,6.0,1.264,1.501,0.946,0.281,0.13699999999999998,0.028,2018
47,48,Ecuador,5.973,0.889,1.33,0.736,0.556,0.114,0.12,2018
48,49,Belize,5.956,0.807,1.101,0.474,0.593,0.183,0.08900000000000001,2018
49,50,Lithuania,5.952000000000001,1.197,1.527,0.716,0.35,0.026,0.006,2018
50,51,Slovenia,5.948,1.219,1.506,0.856,0.633,0.16,0.051,2018
51,52,Romania,5.945,1.116,1.219,0.726,0.528,0.08800000000000001,0.001,2018
52,53,Latvia,5.933,1.148,1.454,0.6709999999999999,0.363,0.092,0.066,2018
53,54,Japan,5.915,1.294,1.462,0.988,0.5529999999999999,0.079,0.15,2018
54,55,Mauritius,5.891,1.09,1.3869999999999998,0.684,0.584,0.245,0.05,2018
55,56,Jamaica,5.89,0.8190000000000001,1.493,0.693,0.575,0.096,0.031,2018
56,57,South Korea,5.875,1.266,1.204,0.955,0.244,0.175,0.051,2018
57,58,Northern Cyprus,5.835,1.229,1.211,0.909,0.495,0.179,0.154,2018
58,59,Russia,5.81,1.151,1.479,0.599,0.399,0.065,0.025,2018
59,60,Kazakhstan,5.79,1.143,1.516,0.631,0.454,0.14800000000000002,0.121,2018
60,61,Cyprus,5.7620000000000005,1.229,1.1909999999999998,0.909,0.423,0.202,0.035,2018
61,62,Bolivia,5.752000000000002,0.7509999999999999,1.223,0.508,0.606,0.141,0.054000000000000006,2018
62,63,Estonia,5.739,1.2,1.5319999999999998,0.737,0.5529999999999999,0.086,0.174,2018
63,64,Paraguay,5.681,0.835,1.5219999999999998,0.615,0.541,0.162,0.07400000000000001,2018
64,65,Peru,5.6629999999999985,0.934,1.249,0.674,0.53,0.092,0.034,2018
65,66,Kosovo,5.662000000000001,0.855,1.23,0.578,0.448,0.274,0.023,2018
66,67,Moldova,5.64,0.657,1.301,0.62,0.232,0.171,0.0,2018
67,68,Turkmenistan,5.636,1.016,1.533,0.517,0.417,0.199,0.037000000000000005,2018
68,69,Hungary,5.62,1.171,1.401,0.732,0.259,0.061,0.022,2018
69,70,Libya,5.566,0.985,1.35,0.5529999999999999,0.496,0.116,0.14800000000000002,2018
70,71,Philippines,5.524,0.775,1.3119999999999998,0.513,0.643,0.12,0.105,2018
71,72,Honduras,5.504,0.62,1.205,0.622,0.459,0.197,0.07400000000000001,2018
72,73,Belarus,5.483,1.039,1.4980000000000002,0.7,0.307,0.101,0.154,2018
73,74,Turkey,5.483,1.148,1.38,0.6859999999999999,0.324,0.106,0.109,2018
74,75,Pakistan,5.472,0.652,0.81,0.424,0.334,0.21600000000000005,0.113,2018
75,76,Hong Kong,5.43,1.405,1.29,1.03,0.524,0.246,0.29100000000000004,2018
76,77,Portugal,5.41,1.188,1.429,0.884,0.562,0.055,0.017,2018
77,78,Serbia,5.398,0.975,1.369,0.685,0.28800000000000003,0.134,0.043,2018
78,79,Greece,5.358,1.154,1.202,0.879,0.131,0.0,0.044,2018
79,80,Lebanon,5.358,0.965,1.179,0.785,0.503,0.214,0.136,2018
80,81,Montenegro,5.347,1.017,1.279,0.7290000000000001,0.259,0.111,0.081,2018
81,82,Croatia,5.3210000000000015,1.115,1.161,0.737,0.38,0.12,0.039,2018
82,83,Dominican Republic,5.3020000000000005,0.982,1.4409999999999998,0.614,0.578,0.12,0.106,2018
83,84,Algeria,5.295,0.979,1.154,0.687,0.077,0.055,0.135,2018
84,85,Morocco,5.254,0.779,0.797,0.669,0.46,0.026,0.07400000000000001,2018
85,86,China,5.246,0.989,1.142,0.799,0.597,0.029,0.103,2018
86,87,Azerbaijan,5.2010000000000005,1.024,1.161,0.603,0.43,0.031,0.17600000000000002,2018
87,88,Tajikistan,5.199,0.474,1.166,0.598,0.292,0.187,0.034,2018
88,89,Macedonia,5.185,0.959,1.239,0.691,0.394,0.173,0.052000000000000005,2018
89,90,Jordan,5.1610000000000005,0.8220000000000001,1.265,0.645,0.468,0.13,0.134,2018
90,91,Nigeria,5.155,0.6890000000000001,1.172,0.048,0.462,0.201,0.032,2018
91,92,Kyrgyzstan,5.131,0.53,1.416,0.594,0.54,0.281,0.035,2018
92,93,Bosnia and Herzegovina,5.129,0.915,1.078,0.758,0.28,0.21600000000000005,0.0,2018
93,94,Mongolia,5.125,0.914,1.517,0.575,0.395,0.253,0.032,2018
94,95,Vietnam,5.103,0.715,1.365,0.7020000000000001,0.618,0.177,0.079,2018
95,96,Indonesia,5.093,0.899,1.215,0.522,0.5379999999999999,0.484,0.018000000000000002,2018
96,97,Bhutan,5.082,0.7959999999999999,1.335,0.527,0.541,0.364,0.171,2018
97,98,Somalia,4.982,0.0,0.7120000000000001,0.115,0.674,0.238,0.282,2018
98,99,Cameroon,4.975,0.535,0.8909999999999999,0.182,0.454,0.183,0.043,2018
99,100,Bulgaria,4.933,1.054,1.515,0.7120000000000001,0.359,0.064,0.009000000000000001,2018
100,101,Nepal,4.88,0.425,1.228,0.539,0.526,0.302,0.078,2018
101,102,Venezuela,4.806,0.996,1.469,0.657,0.133,0.056,0.052000000000000005,2018
102,103,Gabon,4.758,1.036,1.164,0.404,0.35600000000000004,0.032,0.052000000000000005,2018
103,104,Palestinian Territories,4.743,0.642,1.217,0.602,0.266,0.086,0.076,2018
104,105,South Africa,4.724,0.94,1.41,0.33,0.516,0.103,0.056,2018
105,106,Iran,4.707,1.0590000000000002,0.7709999999999999,0.691,0.459,0.282,0.129,2018
106,107,Ivory Coast,4.671,0.541,0.872,0.08,0.467,0.146,0.103,2018
107,108,Ghana,4.657,0.5920000000000001,0.8959999999999999,0.337,0.499,0.212,0.029,2018
108,109,Senegal,4.631,0.429,1.117,0.433,0.406,0.138,0.08199999999999999,2018
109,110,Laos,4.623,0.72,1.034,0.441,0.626,0.23,0.174,2018
110,111,Tunisia,4.592,0.9,0.906,0.69,0.271,0.04,0.063,2018
111,112,Albania,4.586,0.916,0.8170000000000001,0.79,0.419,0.149,0.032,2018
112,113,Sierra Leone,4.5710000000000015,0.256,0.813,0.0,0.355,0.238,0.053,2018
113,114,Congo (Brazzaville),4.559,0.682,0.8109999999999999,0.343,0.514,0.091,0.077,2018
114,115,Bangladesh,4.5,0.532,0.85,0.579,0.58,0.153,0.14400000000000002,2018
115,116,Sri Lanka,4.471,0.918,1.314,0.672,0.585,0.307,0.05,2018
116,117,Iraq,4.456,1.01,0.971,0.536,0.304,0.14800000000000002,0.095,2018
117,118,Mali,4.447,0.37,1.233,0.152,0.3670000000000001,0.139,0.056,2018
118,119,Namibia,4.441,0.8740000000000001,1.281,0.365,0.519,0.051,0.064,2018
119,120,Cambodia,4.433,0.5489999999999999,1.088,0.457,0.696,0.256,0.065,2018
120,121,Burkina Faso,4.424,0.314,1.097,0.254,0.312,0.175,0.128,2018
121,122,Egypt,4.419,0.885,1.025,0.5529999999999999,0.312,0.092,0.107,2018
122,123,Mozambique,4.417,0.198,0.902,0.173,0.531,0.206,0.158,2018
123,124,Kenya,4.41,0.493,1.048,0.454,0.504,0.35200000000000004,0.055,2018
124,125,Zambia,4.377,0.562,1.047,0.295,0.503,0.221,0.08199999999999999,2018
125,126,Mauritania,4.356,0.557,1.245,0.292,0.129,0.134,0.093,2018
126,127,Ethiopia,4.35,0.308,0.95,0.391,0.452,0.22,0.146,2018
127,128,Georgia,4.34,0.853,0.5920000000000001,0.643,0.375,0.038,0.215,2018
128,129,Armenia,4.3210000000000015,0.816,0.99,0.6659999999999999,0.26,0.077,0.028,2018
129,130,Myanmar,4.308,0.682,1.1740000000000002,0.429,0.58,0.598,0.17800000000000002,2018
130,131,Chad,4.301,0.358,0.907,0.053,0.189,0.181,0.06,2018
131,132,Congo (Kinshasa),4.245,0.069,1.136,0.204,0.312,0.197,0.052000000000000005,2018
132,133,India,4.19,0.721,0.747,0.485,0.539,0.172,0.093,2018
133,134,Niger,4.166,0.131,0.867,0.221,0.39,0.175,0.099,2018
134,135,Uganda,4.1610000000000005,0.322,1.09,0.237,0.45,0.259,0.061,2018
135,136,Benin,4.141,0.378,0.3720000000000001,0.24,0.44,0.163,0.067,2018
136,137,Sudan,4.1389999999999985,0.605,1.24,0.312,0.016,0.134,0.08199999999999999,2018
137,138,Ukraine,4.103,0.7929999999999999,1.413,0.609,0.163,0.187,0.011,2018
138,139,Togo,3.999,0.259,0.474,0.253,0.434,0.158,0.101,2018
139,140,Guinea,3.964,0.344,0.792,0.211,0.394,0.185,0.094,2018
140,141,Lesotho,3.808,0.472,1.215,0.079,0.423,0.116,0.112,2018
141,142,Angola,3.795,0.73,1.125,0.269,0.0,0.079,0.061,2018
142,143,Madagascar,3.774,0.262,0.908,0.402,0.221,0.155,0.049,2018
143,144,Zimbabwe,3.692,0.35700000000000004,1.094,0.248,0.406,0.132,0.099,2018
144,145,Afghanistan,3.632,0.332,0.537,0.255,0.085,0.191,0.036000000000000004,2018
145,146,Botswana,3.59,1.017,1.1740000000000002,0.417,0.557,0.042,0.092,2018
146,147,Malawi,3.587,0.18600000000000005,0.541,0.306,0.531,0.21,0.08,2018
147,148,Haiti,3.582,0.315,0.7140000000000001,0.289,0.025,0.392,0.104,2018
148,149,Liberia,3.495,0.076,0.858,0.267,0.419,0.206,0.03,2018
149,150,Syria,3.462,0.6890000000000001,0.382,0.539,0.08800000000000001,0.376,0.14400000000000002,2018
150,151,Rwanda,3.408,0.332,0.8959999999999999,0.4,0.636,0.2,0.444,2018
151,152,Yemen,3.355,0.442,1.073,0.343,0.244,0.083,0.064,2018
152,153,Tanzania,3.303,0.455,0.991,0.381,0.481,0.27,0.097,2018
153,154,South Sudan,3.254,0.337,0.608,0.177,0.112,0.224,0.106,2018
154,155,Central African Republic,3.083,0.024,0.0,0.01,0.305,0.218,0.038,2018
155,156,Burundi,2.905,0.091,0.627,0.145,0.065,0.149,0.076,2018
