名次,名称,场次,人次,票价,年份,国家,类型
79,反贪风暴4,55.82万,1257.29万,36.2,['2019-04-04'],['中国大陆'],"['动作', '犯罪']"
80,一出好戏,36.91万,1232.08万,36,['2018-08-10'],['中国大陆'],"['剧情', '喜剧']"
81,鬼吹灯之九层妖塔,22.51万,974.04万,45.1,['2015-10-01'],['中国大陆'],"['动作', '惊悚', '冒险', '奇幻']"
82,终结者：创世纪,28.32万,923.67万,47.5,['2015-08-23'],['美国'],"['动作', '惊悚', '冒险', '科幻']"
83,X战警：天启,35.31万,967.06万,45,['2016-06-03'],['美国'],"['动作', '冒险', '奇幻', '科幻']"
84,蝙蝠侠大战超人：正义黎明,27.51万,913.19万,46.7,['2016-03-25'],"['美国', '中国大陆']","['动作', '冒险', '奇幻', '科幻']"
85,蚁人2：黄蜂女现身,40.36万,1096.15万,37.9,['2018-08-24'],"['动作', '冒险', '科幻']",[]
86,恶棍天使,19万,1077.1万,38.4,['2015-12-24'],['中国大陆'],['喜剧']
87,扫毒2天地对决,59.54万,1078.29万,37.7,['2019-07-05'],['中国大陆'],"['剧情', '动作', '犯罪', '悬疑']"
88,007：幽灵党,25.51万,988.84万,40.9,['2015-11-13'],"['美国', '英国']","['动作', '惊悚', '冒险', '悬疑']"
89,神秘巨星,40.12万,1280.81万,31.4,['2018-01-19'],['剧情'],[]
90,寒战2,25.38万,870.13万,46,['2016-07-08'],['中国香港'],"['剧情', '动作', '犯罪']"
91,霍比特人3：去而复归,17.73万,775.78万,51.4,['2015-01-23'],['美国'],"['动作', '冒险', '奇幻']"
92,智取威虎山3D,17.4万,775.79万,51.4,['2014-12-23'],['中国大陆'],"['动作', '冒险', '战争']"
93,金刚：骷髅岛,48.37万,1049.5万,38,['2017-03-24'],['美国'],"['爱情', '动作', '冒险', '奇幻']"
94,澳门风云2,16.2万,828.29万,47.5,['2015-02-19'],['中国大陆'],"['剧情', '喜剧', '动作']"
95,正义联盟,41.52万,1096.44万,35.8,[],[],[]
96,雷神3：诸神黄昏,34.87万,1095.97万,35.7,['2017-11-03'],"['动作', '冒险', '奇幻']",[]
97,北京遇上西雅图之不二情书,34.99万,969.87万,40.3,['2016-04-29'],['中国大陆'],"['剧情', '喜剧', '爱情']"
98,巨齿鲨,30.52万,945.13万,40.3,['2018-08-10'],"['动作', '冒险', '科幻']",[]
99,从你的全世界路过,36.56万,1013.97万,37.2,['2016-09-30'],['中国大陆'],"['喜剧', '爱情']"
100,无问西东,37.01万,1097.59万,32.3,['2018-01-12'],['中国大陆'],"['剧情', '爱情', '战争']"
名次,名称,场次,人次,票价,年份,国家,类型
101,黑豹,29.07万,963.76万,36.7,['2018-03-09'],"['动作', '冒险', '科幻']",[]
102,长城,46.77万,874.23万,39.5,['2016-12-16'],"['美国', '中国大陆']","['剧情', '动作', '冒险', '奇幻']"
103,生化危机6：终章,40.16万,918.16万,37.3,['2017-02-24'],['美国'],"['动作', '惊悚', '恐怖', '科幻']"
104,狼图腾,14.14万,685.84万,49.9,['2015-02-19'],['中国大陆'],"['剧情', '冒险']"
105,愤怒的小鸟,32.04万,789.58万,42.8,['2016-05-20'],['美国'],"['喜剧', '动作', '动画']"
106,大闹天竺,19.28万,890.2万,37.1,['2017-01-28'],['中国大陆'],"['喜剧', '爱情', '动作']"
107,逆时营救,26.25万,941.66万,35,['2017-06-30'],['中国大陆'],"['剧情', '悬疑', '科幻']"
108,使徒行者,27.77万,878.83万,37.1,['2016-08-11'],['中国大陆'],"['喜剧', '犯罪']"
109,星际穿越,13.56万,726.84万,44.8,['2014-11-12'],['美国'],"['冒险', '悬疑', '科幻']"
110,心花路放,15.17万,766.89万,42.3,['2014-09-30'],['中国大陆'],"['剧情', '喜剧']"
111,奇异博士,36.26万,792.48万,40.5,['2016-11-04'],"['美国', '中国大陆']","['动作', '冒险', '奇幻']"
112,小黄人大眼萌,24.15万,698.38万,45.6,['2015-09-13'],['美国'],"['喜剧', '动画', '家庭']"
113,熊出没·原始时代,24.48万,761.57万,41.7,['2019-02-05'],['中国大陆'],"['喜剧', '动画', '冒险']"
114,摩天营救,29.57万,865.9万,36.5,['2018-07-20'],"['动作', '犯罪', '悬疑']",[]
115,极限特工：终极回归,34.05万,802.51万,38.9,['2017-02-10'],"['美国', '中国大陆']","['动作', '冒险']"
116,大鱼海棠,23.65万,712.95万,43.3,['2016-07-08'],['中国大陆'],"['动画', '奇幻']"
117,乘风破浪,29.05万,824.81万,37.4,['2017-01-28'],['中国大陆'],['剧情']
