评论内容,评论时间,评论人等级,评论类型
蹲个bgm,2021-10-19 21:54:58,5,评论
老师看起来好有气质[打call],2021-10-19 19:15:12,5,评论
怎么说呢，以后看小说富贵女配的特供苏绣裙这不就有画面了[支持] 真的太美了,2021-10-19 16:15:41,5,评论
神来之笔,2021-10-19 15:29:52,5,评论
这些，真的好看又完美,2021-10-19 13:47:13,5,评论
厉害了 活灵活现,2021-10-18 23:04:30,5,评论
活了,2021-10-18 21:19:23,4,评论
听听就可以了，学不会的[微笑],2021-10-18 14:41:44,5,评论
太好看了[星星眼],2021-10-18 12:15:11,5,评论
好牛,2021-10-18 00:15:12,6,评论
多少钱,2021-10-17 21:23:48,3,评论
太漂亮了,2021-10-17 21:23:23,6,评论
打码！！！,2021-10-17 18:55:04,5,评论
太磨练心性了……[支持],2021-10-17 15:07:11,5,评论
🌹谢谢发掘美，守护美,2021-10-17 14:49:55,5,评论
好想学啊，哪里可以教教?,2021-10-17 12:46:29,4,评论
卧槽我还以为是活鱼,2021-10-17 12:19:23,6,评论
太美了，大师就是大师[支持],2021-10-17 11:34:58,6,评论
太逼真了，这一幅得10w吧,2021-10-17 10:39:26,4,评论
厉害了，封面我以为一个鱼缸,2021-10-17 09:32:46,6,评论
这是有生命力的刺绣呀！,2021-10-17 01:50:45,5,评论
用我奶奶的话说，作秀活好的心性脾气都好。,2021-10-16 23:16:02,6,评论
@甘棠370 每天都在文化膨胀了,2021-10-16 22:23:18,5,评论
回复 @甘棠370 :太绝了,2021-10-17 08:37:51,5,回复
还有双面绣，正反两面不同的图，这种是真的让人叹为观止[点赞],2021-10-17 00:34:02,5,回复
我去苏州的时候看过，当时就很震惊,2021-10-17 00:32:11,5,回复
外国奢侈品咬咬牙还是能买的。咱们的奢侈品牙齿咬碎了都买不起。,2021-10-16 20:22:42,5,评论
以为是真的,2021-10-16 19:49:00,6,评论
太厉害了,2021-10-16 17:18:06,6,评论
牛啊,2021-10-16 13:54:52,5,评论
大师！切记要防盗，防盗，防盗，防盗，防盗，防盗啊！！！,2021-10-16 10:02:44,5,评论
好牛啊,2021-10-16 09:49:14,6,评论
美爆了！,2021-10-15 23:35:10,3,评论
不是不爱刺绣，是奈何钱包无几啊,2021-10-15 23:31:02,5,评论
救命🆘，太好看了，我看到连呼吸都暂停,2021-10-15 23:30:10,5,评论
我的天我以前看那种古言，女主会刺绣，绣出来的东西栩栩如生像真的一样，我以为就是为了突出女主绣技厉害，夸大了。今天看到老师的视频没想到是真的啊！！！太厉害了吧,2021-10-15 23:20:16,6,评论
加水印，防偷国,2021-10-15 22:22:55,3,评论
这手上不能有死皮倒刺…,2021-10-15 22:04:25,4,评论
小心韩国来偷,2021-10-15 18:15:22,5,评论
有点想学[妙啊][妙啊][妙啊],2021-10-15 17:48:54,4,评论
太美了[星星眼][星星眼][星星眼],2021-10-15 17:06:11,6,评论
这太绝了,2021-10-15 16:44:06,5,评论
栩栩如生,2021-10-15 16:09:32,6,评论
这种文化瑰宝不好好宣传一下吗？好多人都还不知道,2021-10-15 16:01:47,4,评论
我第一眼还以为是标本，太逼真了,2021-10-15 15:47:19,5,评论
这么好的东西宣传不出去太可惜，像人家里本人宣传自己的文化多好,2021-10-15 12:27:49,4,评论
太牛了,2021-10-15 11:26:40,4,评论
老师您真厉害哇！,2021-10-15 10:00:43,6,评论
绣娘们的眼睛晚年会容易老化吗？,2021-10-15 08:06:00,5,评论
说绣衣服上的，这个当然可以，只要舍得。找能绣出这么厉害的图的绣娘，手工费老贵了，而且最重要的是真丝不能水洗，特别难处理，就是说，这样的衣服也就只能穿一两次或者供起来观摩，当然财大气粗也不会拦你,2021-10-15 00:16:01,5,评论
惊了！[热词系列_知识增加][热词系列_妙啊],2021-10-15 00:10:30,5,评论
开头无羁破防,2021-10-14 23:52:52,4,评论
跟活的一样,2021-10-14 23:31:42,4,评论
太厉害了！！,2021-10-14 23:27:21,5,评论
太厉害了！,2021-10-14 23:02:36,5,评论
想知道价格让我死心,2021-10-14 22:40:40,5,评论
哎呀，该怎么夸呢，算了，我一键吧[热词系列_三连],2021-10-14 21:19:06,4,评论
绝了绝了绝了绝了！,2021-10-14 21:02:43,5,评论
可以当国宝收藏了，就怕宇宙第一居民来说是他们的[doge],2021-10-14 19:56:46,6,评论
好强,2021-10-14 19:40:24,3,评论
太厉害啦,2021-10-14 17:30:09,6,评论
支持[打call],2021-10-14 16:10:19,5,评论
千丝成鱼，栩栩如生,2021-10-14 16:05:03,5,评论
太厉害了，想学，一定要把这些传承下去,2021-10-14 14:31:28,5,评论
不管什么文化别教韩国人[笑哭],2021-10-14 13:09:11,5,评论
为什么要努力赚钱，为了汉服是真丝的，颜色是草木染的，绣花是苏绣的,2021-10-14 12:50:26,3,评论
打码呀小心偷国人,2021-10-14 12:19:16,5,评论
加水印加水印不想被偷国人学去,2021-10-14 12:20:31,5,评论
我终于懂夏冬春为什么那么骄傲:我这可是苏绣[doge],2021-10-14 12:02:35,5,评论
太厉害了，我还以为是那种扁圆型的鱼缸,2021-10-14 11:53:34,3,评论
学刺绣眼睛会不会更近视啊？,2021-10-14 10:59:27,6,评论
卧槽，我瞟一眼还以为是真的鱼呢，刚往下刷过去，猛然瞟到苏绣，立马回来看了。,2021-10-14 10:21:50,5,评论
别教给来“学习交流”的偷过！,2021-10-14 10:13:52,6,评论
厉害,2021-10-14 09:02:13,5,评论
我还说这个鱼怎么不动呢！,2021-10-14 08:52:31,4,评论
[脱单doge]一步一步，然后就成了,2021-10-14 02:36:03,6,评论
我也以为是真的,2021-10-14 00:12:46,5,评论
太美了,2021-10-13 23:48:45,6,评论
我学会了！真的，等下睡觉💤就可以绣了[给心心],2021-10-13 23:07:08,5,评论
今年生日希望闺蜜给我绣一个,2021-10-13 22:38:28,4,评论
弱弱问一句招徒弟吗，个人很喜欢这种传统的刺绣,2021-10-13 22:08:38,4,评论
天啊，好怕偷国人偷走,2021-10-13 21:04:24,5,评论
这不是手艺，这是艺术，而且是有历史底蕴文化底蕴的艺术品,2021-10-13 20:47:16,5,评论
我封面第一眼以为是真的。。。,2021-10-13 20:05:21,6,评论
绝了[热词系列_知识增加][热词系列_妙啊][热词系列_吹爆],2021-10-13 19:51:35,5,评论
这不就是世界第一嘛[星星眼],2021-10-13 19:18:10,4,评论
好厉害呀，鱼鱼好漂亮，望过去像镜子一样[给心心][给心心],2021-10-13 17:07:21,6,评论
[吃瓜],2021-10-13 16:54:04,5,评论
就像在空中画画一般,2021-10-13 14:58:03,5,评论
大师,2021-10-13 14:45:30,5,评论
为什么这种艺术形式的出镜，表现形象永远是固定的几种物品或动物。能不能来个苏绣威震天？,2021-10-13 14:41:17,5,评论
@窥屏员 评论说 皆若空游无所依 我觉得说的对✓,2021-10-13 14:27:20,5,评论
我的妈呀………神仙,2021-10-13 13:13:31,5,评论
老师学了多少年了……真的太神了,2021-10-13 13:13:56,5,回复
BGM：要一起-周深,2021-10-13 12:48:11,5,评论
太美了，小心偷国,2021-10-13 12:44:47,6,评论
大家不用担心的，这种完全属于眼睛会了，手不会的那种技术！没有常年累月的练习半步走都难说,2021-10-13 12:28:23,5,评论
我看封面以为有个鱼缸[tv_呆],2021-10-13 11:42:05,6,评论
巧夺天工[打call][打call][打call][爱心][爱心][爱心],2021-10-13 11:27:47,5,评论
好美啊[橘猫_星星眼],2021-10-13 11:19:53,5,评论
我一直想知道他们怎么换线收针，看不出痕迹,2021-10-13 10:57:55,5,评论
我去看过真迹，是真的牛…看了一下午,2021-10-13 10:01:03,6,评论
看起来像真的一样[脱单doge],2021-10-13 09:57:26,5,评论
怎么会这么逼真[星星眼],2021-10-13 09:40:24,5,评论
好好看呜呜呜,2021-10-13 09:22:22,6,评论
卧槽，这也太牛了,2021-10-13 09:21:31,6,评论
建议今后加国旗，不然又被偷了,2021-10-13 09:12:49,4,评论
惊了，我还说这鱼缸有点不对劲[喜极而泣],2021-10-13 08:17:56,5,评论
老师，请一定要保护好这么美丽的文化啊，苏绣要品牌化，要多多宣传，最好以“中国苏绣”为招牌进行宣传，另外如果太昂贵也不利于自身发展，要高低搭配，出简配款，免得曲高和寡，就像那些豪车品牌都因为规模不够被普价车品牌收购了。价高的打品牌，竖形象，价低的抢市场，得人心。,2021-10-13 01:46:51,5,评论
哇 太美了,2021-10-13 00:50:30,6,评论
太厉害了,2021-10-13 00:49:47,6,评论
好厉害，想学！,2021-10-12 23:51:20,5,评论
这都是艺术品啊,2021-10-12 23:42:57,5,评论
等我有钱了[酸了],2021-10-12 23:41:48,5,评论
卧槽…,2021-10-12 23:29:35,6,评论
好美好美,2021-10-12 23:06:15,5,评论
中国的奢侈品。,2021-10-12 22:55:35,4,评论
看封面还以为是鱼缸我天,2021-10-12 22:45:38,6,评论
老师的金鱼和镯子好配哦[doge],2021-10-12 22:32:47,5,评论
唉真的不知道能做什么让我国的传统文化流传下去不被人偷走,2021-10-12 22:31:58,5,评论
苏绣单品价格昂贵是有道理的,2021-10-12 21:54:43,5,评论
太厉害了八！,2021-10-12 21:50:40,5,评论
防火防盗防偷国🇰🇷,2021-10-12 21:46:08,5,评论
[跪了][跪了][跪了][跪了],2021-10-12 20:33:22,5,评论
好美,2021-10-12 20:22:05,5,评论
很漂亮[喜欢],2021-10-12 19:05:10,6,评论
老师记得视频打水印哦，要不然又有偷国说是他们的某某文化了,2021-10-12 18:42:29,5,评论
我一直以为栩栩如生是夸张的形容词，没想到是写实的[星星眼],2021-10-12 18:32:28,4,评论
这东西做奢侈品不比那些卖牌子的货有资格多了？,2021-10-12 18:12:58,6,评论
告诉我价格让我死心🤣🤣🤣🤣,2021-10-12 17:56:54,4,评论
为了无羁，为了非遗,2021-10-12 17:52:44,3,评论
别教韩国人诶,2021-10-12 17:39:23,5,评论
卧槽，老师，可一定要传承下去啊！[doge][支持],2021-10-12 17:14:46,5,评论
