评论内容,评论时间,评论人等级,评论类型
唉  还是自己太相信自己的眼睛  太自信和太想赚钱  很多时候看着简单并不一定就是简单  新手肯定做的不会合格  因为回收的前提是能二次销售  即使你所说的“骗子”想回收  因为新手的作品太过于粗糙也没办法再次销售  他们也不会回收的,2021-07-17 08:07:10,4,回复
很遗憾，非遗之所以申请，是传承快断了，最后的保险，保证时代的记忆不会丢失！如果告诉你，学习非遗技艺  不但没钱   还没工作 （只能自己开工作室）  还难传承，你会去学么？,2021-05-23 17:23:15,4,评论
回复 @寒烟丿丶断缘 :传承是传承  继承是继承  两个概念,2021-05-23 19:10:23,4,回复
回复 @掐丝珐琅唐卡 :传承是要一直做下去的，要不然不能继承的！,2021-05-23 18:24:07,4,回复
学或者会不代表就去从事  就像你会做饭你就必须去当厨子吗  你会开车你就必须去当司机吗  传承不仅仅是从事或者就业  了解和向别人普及知识也是传承,2021-05-23 17:46:19,4,回复
很喜欢手工类的哦，也想学着做一个,2021-04-16 09:43:29,5,评论
主页资料有材料包购买方式,2021-04-16 18:29:51,4,回复
这个胶是什么胶,2020-11-06 01:12:53,4,评论
up胶水有链接吗[星星眼],2020-11-02 15:49:08,4,评论
这个我们寝室有人去做过，不是说这个工艺，是那个公司是骗人的。那段时间出了很多这个事。让学生掏钱买材料回去做，然后成品给他，她觉得可以了就把钱给学生。我们寝室交了很多押金，最后老板卷款跑了。,2020-09-23 08:59:19,6,评论
请问这个胶水！可以给个链接吗………[酸了],2020-09-13 12:38:13,6,评论
这和漆线雕很像,2020-09-02 22:14:09,4,评论
我的专业课就是花丝！,2020-08-28 13:34:28,5,评论
看完了，感觉真的好简单啊[囧][囧][囧],2020-08-26 14:32:00,5,评论
贝塞尔曲线_(:з」∠)_,2020-08-21 20:16:09,6,评论
这玩意我干了一下午，手都在疼[囧],2020-08-21 11:24:35,4,评论
学废了学废了,2020-08-10 00:32:43,5,评论
的确不难的……学校社团有这个，反正我第一次就满分作业来着,2020-08-07 19:51:56,5,评论
