评论内容,评论时间,评论人等级,评论类型
想问工具台有什么特别的吗？我一次刻三张就差不多了，感觉老师能刻好多张，是力度问题吗？还是工作台？,2021-11-05 12:38:25,5,评论
@天官赐福动画官方 看看！这里,2021-11-05 10:28:16,5,评论
天官的荣幸，中国剪纸yyds,2021-11-05 10:25:58,5,评论
棒棒[天官赐福_点赞],2021-11-03 22:14:27,5,评论
老师太厉害了[支持][支持][支持],2021-11-03 18:37:08,4,评论
好厉害,2021-11-03 00:33:59,3,评论
哇哇，好厉害[天官赐福_害羞][天官赐福_害羞][天官赐福_害羞][天官赐福_害羞],2021-11-03 00:32:56,3,评论
因为之前用剪子戳刻，所以叫剪纸，并不是用剪刀剪的意思。,2021-11-02 17:46:28,4,评论
好！！！！！！！！！双厨狂喜,2021-11-01 16:09:41,5,评论
希望中国的传统文化都能被人们看到被国人传承下去，不想看到某项传统技艺因为没人想学而失传[委屈],2021-10-31 19:14:05,6,评论
高中时在学校选修课有幸学过一点点剪纸 越精细的地方越容易断掉 刻了很久的作品很容易就毁掉了 这么细致的作品真的很难得希望这项艺术能够以一种新的方式传承下去,2021-10-30 18:19:31,5,评论
我们的荣幸，谢谢您们,2021-10-30 17:13:10,3,评论
非遗剪纸！！好厉害！,2021-10-30 15:53:23,5,评论
出息了！,2021-10-30 13:57:01,3,评论
[热词系列_妙啊]牛牛,2021-10-30 12:01:08,5,评论
荣幸真的是天官的荣幸，太开心了！！！！,2021-10-30 10:30:04,4,评论
[天官赐福_彩虹屁],2021-10-30 08:44:03,4,评论
啊啊啊！！！[大哭]天官加剪纸我没了！,2021-10-29 13:53:19,4,评论
[热词系列_梦幻联动]！,2021-10-29 13:01:29,4,评论
哇！！！,2021-10-29 00:06:42,5,评论
哇，好棒！！,2021-10-27 20:47:14,6,评论
想学 怎么做啊,2021-10-26 21:22:54,2,评论
我想要这个的图，会剪纸的人发来请求,2021-10-26 20:11:00,2,评论
作为一位章安人，居然没听说过剪纸😥,2021-10-25 21:36:17,6,评论
好耶！双厨狂喜,2021-10-25 19:14:42,2,评论
好看好看！非遗加天官！我感觉我要激动起飞了[天官赐福_突然出现],2021-10-24 19:49:10,5,评论
刚刚从首页来的，太厉害了，喜欢天官赐福动漫。希望中国非遗有更多人知道，了解，欣赏并传承,2021-10-24 19:48:01,4,评论
妈呀我开心！！！,2021-10-24 18:53:22,5,评论
台州人狂喜！！！！,2021-10-24 16:32:19,3,评论
不就是剪纸吗，我学一万年我也不能学会[tv_doge],2021-10-24 16:01:51,3,评论
居然是官方！,2021-10-24 12:24:24,5,评论
支持[热词系列_妙啊],2021-10-24 11:32:25,2,评论
我……这是官方？！,2021-10-24 10:59:11,3,评论
@天官赐福动画官方 @哔哩哔哩国创,2021-10-24 10:35:10,4,评论
双厨狂喜！！！！剪纸+天官！！！,2021-10-24 00:27:50,3,评论
我们学校就有魔道的剪纸挂在教学楼楼梯的墙上,2021-10-23 23:55:33,3,评论
[热词系列_好耶],2021-10-23 23:02:38,5,评论
好棒，支持,2021-10-23 19:48:37,0,评论
[天官赐福_彩虹屁][天官赐福_彩虹屁][天官赐福_彩虹屁],2021-10-23 18:16:27,5,评论
今天直播看到杨老师了，谢谢杨老师教散人！,2021-10-23 16:22:55,4,评论
天官赐福，百无禁忌,2021-10-23 14:22:23,5,评论
你看我滚进来投币的样子好不好看,2021-10-23 13:52:31,5,评论
本台州人狂喜[天官赐福_彩虹屁],2021-10-23 12:58:13,5,评论
！！！好用心，三连三连,2021-10-23 11:15:29,4,评论
感动(ಥ_ಥ)天官和剪纸啊啊啊啊啊😭,2021-10-23 10:06:31,4,评论
太漂亮了[给心心],2021-10-23 08:42:32,5,评论
好好看啊！！！第二季片尾一定要看到您！！！！,2021-10-22 23:30:51,5,评论
天官赐福，百无禁忌。殿下会保佑你。,2021-10-22 23:29:54,3,评论
好棒！[天官赐福_彩虹屁],2021-10-22 23:09:28,5,评论
卧槽这样传播文化真的很棒啊！加油💪！！！,2021-10-22 22:21:28,3,评论
[热词系列_吹爆][热词系列_吹爆][热词系列_吹爆][热词系列_吹爆][热词系列_吹爆][热词系列_吹爆][热词系列_吹爆][热词系列_吹爆],2021-10-22 22:13:16,4,评论
我操，牛逼！！！！！,2021-10-22 21:27:03,2,评论
双厨狂喜！！！[打call][打call][打call],2021-10-22 19:46:19,3,评论
厉害了,2021-10-22 16:20:24,3,评论
双厨狂喜！！！,2021-10-22 12:42:52,5,评论
[天官赐福_彩虹屁],2021-10-21 23:28:05,5,评论
章安！剪纸！天官！三厨狂喜！！我天我天！！！在b站竟然能刷到我家啊啊啊,2021-10-21 17:31:16,5,评论
天官赐福YYDS[天官赐福_点赞],2021-10-21 08:22:46,5,评论
小官真是太荣幸啦,2021-10-20 20:43:41,6,评论
好棒！[星星眼],2021-10-20 16:56:57,5,评论
好耶！小官出息了！www,2021-10-20 00:45:26,3,评论
迎合当代腐女[doge][doge],2021-10-19 19:12:47,5,评论
[给心心],2021-10-19 13:20:38,4,评论
好好看啊[喜欢],2021-10-18 23:03:49,5,评论
up加油！！！[打call][打call],2021-10-18 22:57:47,4,评论
求教程[打call][打call][打call],2021-10-18 17:25:43,4,评论
天官赐福啊啊啊啊啊啊啊啊双厨狂喜！！！！！！！！！！！！！,2021-10-18 15:28:13,3,评论
好棒呀！！,2021-10-17 23:55:42,4,评论
想要过年贴呜呜呜呜,2021-10-17 23:14:09,5,评论
台州非遗很会玩啊，看见标题进来的，天官花三怂[doge],2021-10-17 21:44:59,4,评论
@天官赐福动画官方 福哥快来！！！,2021-10-17 21:07:00,3,评论
好耶,2021-10-17 20:44:16,5,评论
支持传统文化[天官赐福_点赞],2021-10-17 20:14:06,5,评论
真的双厨狂喜了属于是,2021-10-17 20:00:44,5,评论
学到了啊，一直都是用左手稳住纸，然后右手拿刻刀的，现在学了一招了，拿上一根小棍更稳了[星星眼],2021-10-17 19:01:29,6,评论
好美,2021-10-17 18:56:04,5,评论
跟纸雕差不多？,2021-10-17 18:17:54,3,评论
好厉害[打call][打call][打call],2021-10-17 17:37:21,3,评论
好厉害！[天官赐福_彩虹屁][天官赐福_彩虹屁],2021-10-17 17:25:45,3,评论
好强啊，好棒,2021-10-17 16:00:26,4,评论
很厉害了，也挺喜欢，不过一般还真没怎么接触过剪纸[鼓掌],2021-10-17 15:47:50,4,评论
墨香你看到没！！！,2021-10-17 14:50:31,5,评论
太好看了吧，成功打破了我对剪纸的印象,2021-10-17 14:29:13,4,评论
[天官赐福_彩虹屁][天官赐福_彩虹屁],2021-10-17 14:22:02,4,评论
好牛哇！！！！！！！！,2021-10-17 13:57:54,5,评论
终于遇到一个我会的非遗[脱单doge],2021-10-17 13:46:55,5,评论
好棒阿！！！,2021-10-17 13:07:28,6,评论
有友友有图吗，求张图[打call],2021-10-17 12:51:23,3,评论
@青雨归燕,2021-10-17 12:17:02,4,评论
[热词系列_吹爆][热词系列_三连]记得上学的时候就喜欢拿着作文纸乱剪[笑哭][热词系列_害],2021-10-17 12:05:17,4,评论
小时候也学过剪纸[天官赐福_害羞]虽然手法不专业，但从小到大一直有在坚持，真的是一种非常美的艺术[天官赐福_看星星][天官赐福_看星星][天官赐福_看星星]每次做都是一种享受,2021-10-17 10:20:12,4,评论
一键[热词系列_三连],2021-10-17 10:16:57,4,评论
加油！,2021-10-16 23:57:48,3,评论
双厨狂喜，我速速前来！,2021-10-16 23:21:05,5,评论
杨师傅的剪纸好漂亮(´-ω-`)不知道在哪里能学习这个剪纸的技术？[天官赐福_彩虹屁][天官赐福_喜欢],2021-10-16 21:34:09,4,评论
厉害厉害[tv_点赞][tv_点赞][tv_点赞][tv_点赞],2021-10-16 21:10:46,3,评论
太厉害啦,2021-10-16 20:16:40,3,评论
好喜欢，我也要试试,2021-10-16 19:55:58,3,评论
可以买嘛[星星眼],2021-10-16 19:53:35,5,评论
这个难不难啊,2021-10-16 18:24:13,4,评论
我想学,2021-10-16 17:10:05,5,评论
好棒啊[给心心][给心心][给心心][给心心],2021-10-16 15:54:37,4,评论
双厨狂喜,2021-10-16 15:47:20,4,评论
真的剪得好好看!传统文化一定要传承下去![给心心][打call][打call][打call],2021-10-16 15:16:49,5,评论
哇 刚报完剪纸选修课就给我推这个[给心心],2021-10-16 14:22:50,4,评论
牛[打call][打call][打call][脱单doge],2021-10-16 14:06:15,3,评论
好棒好棒好棒！,2021-10-16 12:46:49,5,评论
好厉害[天官赐福_彩虹屁][天官赐福_彩虹屁][天官赐福_彩虹屁],2021-10-16 12:30:35,4,评论
你好哇！没想到现在还能看到刻纸wwww我还记得小时候奶奶一点点的教我剪窗花啊，剪对联（？印象最深刻的应该就是我生日时候的一对纸兔子，红色黑色白色三种颜色夹一起的，我妈还帮我裱了起来，然后现在都泛黄了[原神_生气]我还舍不得丢,2021-10-16 12:25:27,5,评论
好厉害[星星眼][星星眼][星星眼],2021-10-16 11:50:08,3,评论
？我家乡？古镇那边可以看到的吗？我离那里真的很近诶！,2021-10-16 10:07:33,3,评论
好精致好漂亮 一直觉得剪纸这么漂亮觉得好厉害！天官赐福，百无禁忌！,2021-10-15 22:09:24,4,评论
剪的好漂亮啊啊[给心心],2021-10-15 21:25:05,5,评论
[热词系列_好活][热词系列_吹爆][热词系列_吹爆],2021-10-15 20:55:27,4,评论
[点赞][点赞][点赞]好厉害！我败在了第一步画图[大哭],2021-10-15 19:31:58,4,评论
[打call]好看,2021-10-15 19:08:07,4,评论
[打call][打call][打call][打call][打call]太好看了[打call][打call],2021-10-15 15:49:33,4,评论
我小时候剪过对称的那种，后来一直想学不对称的这种，可惜没找到机会。,2021-10-15 13:28:46,5,评论
@天官赐福动画官方,2021-10-15 12:50:02,3,评论
老师手好巧！[星星眼]剪纸真的好好看,2021-10-15 12:46:16,5,评论
嗷嗷真的好棒！！！！[打call][打call][星星眼],2021-10-15 11:43:50,5,评论
太棒了[天官赐福_彩虹屁]这种形式的非遗传承真的很吸引人,2021-10-15 10:28:27,5,评论
好耶[天官赐福_彩虹屁],2021-10-15 09:54:10,4,评论
好棒好厉害啊[天官赐福_彩虹屁][天官赐福_彩虹屁],2021-10-15 01:21:56,5,评论
嗷嗷嗷好牛呜呜呜[天官赐福_害羞][天官赐福_彩虹屁][热词系列_爱了爱了],2021-10-15 00:30:54,5,评论
哇哇哇哇[打call][打call][打call][打call],2021-10-15 00:20:18,3,评论
来了啊啊啊好棒@天官赐福动画官方,2021-10-14 23:39:29,3,评论
好棒[天官赐福_彩虹屁][天官赐福_彩虹屁][天官赐福_看星星],2021-10-14 22:43:53,5,评论
哇，好看[给心心],2021-10-14 22:29:11,5,评论
好厉害 喜欢～,2021-10-14 22:28:24,5,评论
好厉害,2021-10-14 22:13:01,5,评论
我来了我来了我带着残疾的双手走来了,2021-10-14 22:08:39,6,评论
良作无人,2021-10-14 22:05:20,4,评论
看到能和小官联动好开心呀！[天官赐福_害羞]我国的非遗文化真的拥有非常独特的魅力，好希望能一直传承下去，生生不息，也能让全世界的人都了解到我们中国文化的精妙之处[天官赐福_彩虹屁],2021-10-14 21:48:38,5,评论
天啊！这是什么神仙合作。[打call],2021-10-14 21:46:45,4,评论
我只会剪那种对称的，这种镂空真的好厉害啊,2021-10-14 21:40:43,5,评论
好漂亮(｡･ω･｡)ﾉ♡,2021-10-14 21:33:40,6,评论
哇，长见识了[天官赐福_害羞],2021-10-14 21:26:51,6,评论
哇塞，这种方式很棒呀[给心心][给心心][给心心],2021-10-14 21:05:47,5,评论
太棒了吧！！好好看[请吃红小豆吧！_wow][打call]，而且非常有意义！虽然剪纸对于我这种手工比较差的人来说有些难度，但是不妨碍我了解和看大佬操作哈哈[给心心],2021-10-14 20:53:39,4,评论
好看[给心心][给心心][给心心],2021-10-14 20:25:13,0,评论
好厉害……,2021-10-14 20:14:44,5,评论
哇哇哇哇,2021-10-14 20:10:01,6,评论
[支持][支持][支持],2021-10-14 20:06:25,4,评论
好需要耐心啊[笑哭],2021-10-14 20:03:24,5,评论
太强了[天官赐福_彩虹屁][天官赐福_彩虹屁],2021-10-13 19:32:54,5,评论
好厉害[鼓掌],2021-10-13 19:05:55,4,评论
好厉害,2021-10-13 16:46:06,4,评论
这不[热词系列_吹爆][热词系列_吹爆],2021-10-12 22:30:11,4,评论
请问这手哪里可以买到[脱单doge],2021-10-12 22:02:03,4,评论
关注我们~下周末有神秘大活[doge],2021-10-13 09:17:53,4,回复
谢谢！（⌒▽⌒）加油！,2021-10-12 21:57:17,3,评论
