标题,时长,up粉丝数,分类,点赞,投币,收藏,转发,播放量,弹幕量,评论数
「木羽」这个视频我忍了三年，请问产品能不能做完再发布？,5:32,64.2万,科技猎手 手机 数码 小米 苹果 OPPO 科技 数码,6.2万,2.7万,6762,3408,928206,2591,6112
大学生的记忆力,0:71,51.2万,校园 学生 大学生 生活 搞笑,11.7万,133,2601,185,860154,148,230
千万不要和情侣出去玩！,6:89,,搞笑研究所 情侣 搞笑 生活 逗比 奇葩 娱乐 VLOG 全程高能 沙雕 搞笑研究所2.0 生活 搞笑,15.9万,5.1万,4.1万,1.4万,1883643,4796,1632
加拿大的反向政策果然世间少有，欢迎来到病毒的世界,1:56,35.8万,记录生活的美好幸福时刻 生活记录 加拿大 病毒 记录 疫情 跟着UP主创作吧（第三期） 生活 日常,14.9万,342,5783,2571,1656427,1068,2595
你以为时间还很长,4:66,16.7万,万物皆可动画 手书 动画 原创动画 创意 日常 情感 脑洞 动画创想研究所 动画 短片·手书·配音,39.5万,29.3万,20.1万,5.4万,3576724,4992,7104
【钉 钉 本 钉，在 线 求 饶 2.0】,1:72,115.9万,钉钉 搞笑 自制 生活 高能 幽默 娱乐 吐槽 沙雕 生活 搞笑,7.8万,1.3万,7347,8078,991385,2635,5770
听说米山舞这次收敛了？！谁敢信这只是一个眼影彩妆广告和歌曲MV呢？,3:44,20.1万,插画 绘画 美术 艺术 画师 画画 打卡挑战 生活 绘画,6.9万,4271,3.5万,4803,503766,282,645
《永生的秘诀》,0:28,97.9万,万物皆可动画 科学 搞笑 小蓝和他的朋友 动画创想研究所 动画 短片·手书·配音,7.7万,1552,1.1万,1.5万,862523,196,607
男子晒妻子3年跳舞视频，从性感可爱到“抡大锤”，体重不减反增,0:28,2.9万,舞蹈 跳舞 资讯 社会,6.9万,567,7769,2.6万,1580504,522,1797
康熙的女儿们：当了公主，就一定会幸福么？【雍正王朝】,24:96,80.2万,历史人文档案馆 历史 公主 康熙 康熙王朝 雍正王朝 和亲 雍正 驸马 联姻 知识 人文历史,14.6万,8.0万,2.1万,3010,1513538,11945,4096
这艺术天赋无人能比啊。,0:48,5041,随便画画 手工 人文 美术 艺术家 艺术 手工绘画达人秀·第五期 天赋 牛 生活 手工,10.6万,305,1.2万,255,927354,76,283
【吾导先路】GA-EX-1至8突袭 摆完挂机 简单好抄,2:27,22.6万,明日方舟创作者应援计划 游戏攻略 明日方舟 手机游戏 吾导先路 挂机 中高配 打卡挑战 泰拉探索协会 明日方舟创作者应援计划第三期 游戏 手机游戏,3.6万,3.2万,1.0万,1546,1068793,1606,2459
作死挑战喷火牛肉，老板说上一个还在肛肠科！【怎么这么值ep40-岚火锅】,13:57,118.6万,百人百城美食探店 街头美食 探店 美食 重庆 VLOG 重庆火锅 辣 重庆美食 美食探店 打卡挑战 美食 美食侦探,7.0万,2.4万,5373,2318,774563,5746,1167
《诸神之战》,10:35,36.0万,游戏轻教学 英雄联盟 搞笑 电子竞技 LOL 游戏 电子竞技,6.7万,5089,7779,1.4万,1039387,3373,4197
⚡ 精 灵 宝 可 梦⚡【艾尔登法环】,2:67,2598,奋起吧褪色者们 精灵宝可梦 搞笑 自制 艾尔登法环 老头环 寻找艾尔登法环 游戏 单机游戏,4.5万,4.3万,1.7万,1.1万,430675,468,1370
监控记录东航波音737客机直坠瞬间！,0:43,5.8万,星海计划 飞机 资讯 社会,5.3万,822,8008,2.8万,2101996,1381,150
【原神】诺艾尔生日会【2022】,37:85,,原神UP主激励计划 4K 原神 手机游戏 诺艾尔 手游 生贺 生日会 米哈游 诺艾尔生日会 游戏 手机游戏,7.0万,3.9万,2.2万,6456,483192,6222,3564
南京“阳台救妻”男子去世了，妻子曾说：一生最美好的就是遇见你,1:41,5.0万,火灾 夫妻 资讯 社会,7.2万,6521,4438,5838,1382434,1983,4375
全世界都在充Q币！,1:61,,鬼畜星探企划 人力VOCALOID 鬼畜调教 鬼畜 Q币哥 Q币 鬼畜 人力VOCALOID,5.5万,1.3万,1.7万,4463,721283,1090,723
我也想要哥哥的郁金香,0:28,144.4万,搞笑研究所 生活记录 高甜 情感 颜值 小姐姐 搞笑研究所2.0 生活 搞笑,7.9万,3850,6800,1.7万,1173546,967,2128
地球上当妈的都这样吗,2:73,248.4万,搞笑 生活 魔性 奇葩 吐槽 沙雕 生活 搞笑,8.4万,1.4万,4250,4381,634644,2823,1516
坠机现场发现破碎的教科书、衣服、口罩，仍未发现失联人员,0:21,15.6万,坠毁 口罩 搜救 教科书 衣服 东航 救援现场 核心现场 关注MU5735救援进展 资讯 社会,8.5万,327,3689,1058,1263787,6165,2633
每次训练都拼尽全力,0:40,49.4万,健身 美食 打卡挑战 美食 美食记录,8.6万,1960,2015,4153,1195565,412,1581
喂猪吃草莓 我不羡慕猪 我只心疼人！,2:06,50.1万,萌宠 草莓 主播说联播 郭嘉宁 农产品滞销 主播说三农 猪 资讯 综合,8.8万,4004,3531,1966,741226,1571,2111
老 坛 酸 菜 杀 人 事 件,1:11,115.4万,鬼畜星探企划 PDD 鬼畜 搞笑 土坑酸菜 穿山甲 虎哥 刘华强 康师傅 梅菜扣肉 老坛酸菜 高粱饴 鬼畜 鬼畜剧场,30.3万,4.7万,6.5万,3.8万,4394178,2727,2419
卖气球的老男人，找到了！,1:62,334.9万,搞笑 社会 生活 日常 谭谈交通 记录 谭乔 气球哥 树先生 二仙桥 资讯 社会,7.1万,1.3万,4141,1756,839384,766,2145
英国空军身上 纽扣的隐藏用途,0:53,119.6万,冷知识 英国 科普 趣闻 英国皇家空军 指南针 纽扣 知识 科学科普,8.7万,223,5416,309,689252,80,1010
发生什么事了是什么梗【梗指南】,1:86,199.2万,搞笑研究所 假面骑士 特摄 科普 搞笑 魔性 梗指南 假面骑士贞德 名场面 沙雕 搞笑研究所2.0 生活 搞笑,6.6万,2893,6856,1.7万,1027773,3035,5536
