片名,地区,评分,上映时间
"棱角杯 قىرلىق ئىستاكان",中国大陆,9.4,1993
"排球少年剧场版：胜者与败者 劇場版 ハイキュー!! 勝者と敗者",日本,9.0,2015-09-18(日本)
"JOJO的奇妙冒险：幽灵之血 ジョジョの奇妙な冒険 ファントム ブラッド",日本,8.9,2007-02-17(日本)
"伏罗希洛夫射手 Ворошиловский стрелок",俄罗斯,8.4,1999
"马斯格雷夫仪式 "The Return of Sherlock Holmes" The Musgrave Ritual",英国,9.3,1986-07-23
"排球少年剧场版：结束与开始 劇場版 ハイキュー!! 終わりと始まり",日本,8.9,2015-07-03(日本)
"诺伍德的建筑师 "The Adventures of Sherlock Holmes" The Norwood Builder",英国,9.2,1985-09-08
"岁城璃心",中国大陆,8.7,2014-12-08(中国大陆)
"一碗阳春面 一杯のかけそば",日本,8.9,1992-02-15(日本)
"出租车司机冒险记 Adventures of a Taxi Driver",英国,8.8,1976-05-23(英国)
"空之境界 俯瞰风景3D 劇場版 空の境界 俯瞰風景3D",日本,9.2,2013-07-13(日本)
"坐在人生边上——杨绛",中国大陆,9.0,2011-12-17(中国大陆)
"小校风云 우리들의 일그러진 영웅",韩国,8.8,1992-08-15(韩国)
"同性三分亲 Torch Song Trilogy",美国,8.9,1988-12-14
"四签名 The Sign of Four",英国,9.1,1987-12-29
"天地粮人",中国大陆,8.9,2006-01-01
"黎明到来 Der kom en dag",丹麦,9.3,1955-02-17(丹麦)
"我的朋友们：跳跳虎和小熊维尼 My Friends: Tigger and Pooh",美国,8.7,2007
"住院的病人 "The Adventures of Sherlock Holmes" The Resident Patient",英国,9.2,1985-09-15
"少女与战车 最终章 第1话 ガールズ＆パンツァー 最終章 第1話",日本,8.9,2017-12-09(日本)
"天下一家 We Are the World",美国,9.6,1985-01-28(美国)
"空屋 "The Return of Sherlock Holmes" The Empty House",英国,9.2,1986-07-09
"一只鸟仔哮啾啾 一隻鳥仔哮啾啾",中国台湾,8.8,1997
"机动战士高达 雷霆宙域 DECEMBER SKY 機動戦士ガンダム サンダーボルト DECEMBER SKY",日本,8.9,2016-06-25(日本)
"玩家马布斯博士 Dr. Mabuse, der Spieler",德国,8.7,1922-05-26
"猫咪小贝",中国大陆,9.3,1999(中国大陆)
"三国志：辽阔的大地 三国志 完結編・遥かなる大地",日本,9.0,1994-04-09(日本)
"滑铁卢战役 Waterloo",意大利/苏联,8.6,1970-10-26(伦敦王室首映)
"法国大革命 La révolution française",法国/意大利/西德/加拿大/英国,9.1,1990-09-30
"香巴拉信使",中国大陆,8.5,2007-08-28
"临终的侦探 "The Memoirs of Sherlock Holmes" The Dying Detective",英国,9.3,1994-03-14
"赛文奥特曼 光荣与传说 ウルトラセブン 栄光と伝説",日本,9.1,1999-07-07
"莫麟传奇",中国大陆,8.8,2011-01-24
"三国志：长江的燃烧 三国志 第二部・長江燃ゆ!",日本,9.0,1993-03-20
"机动战士高达 剧场版Ⅲ 相逢在宇宙 機動戦士ガンダムⅢ めぐりあい宇宙編",日本,8.8,1982-03-13(日本)
"蓝宝石案 "The Adventures of Sherlock Holmes" The Blue Carbuncle",英国,9.0,1984-06-05
"鸟，孤儿和愚人 Vtackovia, siroty a blazni",捷克斯洛伐克/法国,8.3,1969
"小巷名流",中国大陆,8.6,1985
"他们在岛屿写作：读中文系的人 他們在島嶼寫作：讀中文系的人",中国台湾,8.9,2015-12-18(中国台湾)
"旺达 Wanda",美国,8.2,1970-08-21(威尼斯电影节)/1971-02-28(美国)
"盗日者 太陽を盗んだ男",日本,8.2,1979-10-06(日本)
"母亲 마더",韩国,8.3,2009-05-16(戛纳电影节)/2009-05-28(韩国)
"一路顺风，查理布朗 Bon Voyage, Charlie Brown (and Don't Come Back!)",美国,8.5,1980-05-30
"福尔摩斯：驼背人 "The Adventures of Sherlock Holmes" The Crooked Man",英国,8.9,1984-05-22
"最佳污点 The Best of Blur",英国,9.2,2000-11-13(英国)
"铜山毛榉案 "The Adventures of Sherlock Holmes" The Copper Beeches",英国,9.0,1985-08-25
"六座拿破仑半身像 "The Return of Sherlock Holmes" The Six Napoleons",英国,9.2,1986-08-20
"未知死亡 原版 Ghajini",印度,8.5,2005-09-29
"天鹅湖 Swan Lake",俄罗斯,9.4,2007-12-13(美国)
"尼伯龙根：西格弗里德之死 Die Nibelungen: Siegfried",德国,8.7,1924-02-14
"人间的条件(第三、四部) 人間の條件",日本,8.7,1959-11-20(日本)
"儿子 息子",日本,8.8,1991-10-12(日本)
"银河英雄传说：新战争的序曲 銀河英雄伝説：新たなる戦いの序曲",日本,9.1,1993-12-18
"抛开自我空间 Wit",美国/英国,8.7,2001-02-09
"绅士联盟 圣诞特辑 The League of Gentlemen Christmas Special",英国,9.2,2000-12-27
"奥勃洛莫夫一生中的几天 Несколько дней из жизни И. И. Обломова",苏联,8.4,1980-09-08
"福尔摩斯：海军协定 "The Adventures of Sherlock Holmes" The Naval Treaty",英国,8.9,1984-05-08
"机动战士高达 剧场版Ⅰ 機動戦士ガンダム",日本,8.6,1981-03-14(日本)
"假面骑士EX-AID Trilogy Another Ending  Part III 假面骑士Genm VS 假面骑士Lazer 仮面ライダーゲンムVSレーザー",日本,9.1,2018-04-25(日本)
"善意的背叛 Den goda viljan",瑞典/德国/英国/意大利/法国/丹麦/挪威/芬兰/冰岛,8.4,1992-07-03(英国)
"第二块血迹 "The Return of Sherlock Holmes" The Second Stain",英国,9.2,1986-07-30
"拿破仑 Napoléon",法国,8.6,1927-04-07
"特蕾莎修女 Madre Teresa",西班牙/英国/意大利,8.5,2003-10-19
"男子游泳部特别版：各就各位 特別版 Free! -Take Your Marks-",日本,8.6,2017-10-28(日本)
"让风带着我起飞 بيد و باد",伊朗/日本,8.6,2000-04-21
"机动战士高达 剧场版Ⅱ 哀·战士 機動戦士ガンダムⅡ 哀・戦士編",日本,8.7,1981-07-11(日本)
"耶稣基督万世巨星 Jesus Christ Superstar - Live Arena Tour",英国,8.7,2012-11-19
"孤苦盲女阿玲 はなれ瞽女おりん",日本,8.4,1977-11-19(日本)
"太白山脉 태백산맥",韩国,8.4,1994-09-17(韩国)
"红军与白军 Csillagosok, katonák",匈牙利/苏联,8.3,1967-11-04(匈牙利)
"伯德街小岛 The Island on Bird Street",丹麦/英国/德国,8.3,2001-03-18
"伙伴们 Company: A Musical Comedy",美国/日本,9.3,2008-02-20
"卖花女 Pygmalion",英国,8.3,1938-03-16
"伯特伦旅馆之谜 Marple: At Bertram's Hotel",英国,8.7,2007-04-01
"贤治之春 イーハトーブ幻想〜KENjIの春",日本,8.8,1996-12-14(日本)
"黑色的风采 Black",印度,8.6,2005-02-04
"绞死刑 絞死刑",日本,8.3,1968-02-03(日本)
"没有无辜的旁观者 There Are No Innocent Bystanders",英国,8.8,2012-03-27(英国)
"诅咒 Kárhozat",匈牙利,8.4,1988-10-20(匈牙利)
"赫尔克里的丰功伟绩 Poirot: The Labours of Hercules",英国,8.5,2013-11-01(波兰)/2013-11-06(英国)
"欢愉 Le plaisir",法国,8.4,1952-02-29
"鲁邦三世Episode：0 初次交锋 ルパン三世 EPISODE:0 ファーストコンタクト",日本,8.9,2002-07-26
"我控诉 J'accuse!",法国,8.9,1919-04-25
"青梅竹马 Vir die Voëls",南非,8.4,2016-11-25(南非)
"爱德华·蒙克 Edvard Munch",瑞典/挪威,8.6,1974-11-12
"孤身骑车人 "The Adventures of Sherlock Holmes" The Solitary Cyclist",英国,8.9,1984-05-15
"高斯奥特曼VS杰斯提斯奥特曼 最终决战 ウルトラマンコスモスVSウルトラマンジャスティス THE FINAL BATTLE",日本,8.4,2003-08-02
"柠檬水 Lemonade",美国,8.6,2016-04-23(美国)
"安娜的旅程 Les Rendez-vous d'Anna",法国/比利时/西德,8.3,1978-11-08
"埃奇威尔爵士之死 Poirot: Lord Edgware Dies",英国,8.5,2000-02-19(英国)
"欢迎光临，或闲人免入 Добро пожаловать, или Посторонним вход воспрещен",苏联,8.5,1964-10-09(苏联)
"希腊译员 "The Adventures of Sherlock Holmes" The Greek Interpreter",英国,8.8,1985-09-01
"罗伦佐的油 Lorenzo's Oil",美国,8.5,1993-01-15
"白朗宁版本 The Browning Version",英国,8.5,1951-03-13
"银魂晴祭2016 銀魂晴祭り2016(仮)",日本,9.2,2016-03-06(日本)
"长夜漫漫路迢迢 Long Day's Journey Into Night",美国,8.2,1962-10-09(美国)
"幕后危机(特别版) The Thick of It",英国,9.3,2007-07-01/2007-07-02
"候鸟 Wrony",波兰,8.6,1994-09-12
"了凡四训",中国大陆,8.6,2001
"特殊的一天 Una giornata particolare",意大利/加拿大,8.4,1977-08-12
"旅客 مسافر",伊朗,8.4,1974
"精神病患者 Schizoid",美国,8.3,1980-09(美国)
"开麦拉狂想曲 Living in Oblivion",美国,8.4,1995-07-21(美国)
"少女与战车：最终章 第2话 ガールズ＆パンツァー 最終章 第2話",日本,8.3,2019-06-15(日本)
"显贵的主顾 "The Casebook of Sherlock Holmes" The Illustrious Client",英国,9.1,1991-03-21
"笨人王老大",中国大陆,8.7,1987(中国大陆)
"赛文奥特曼 空中飞舞的大铁块 ウルトラセブン 空飛ぶ大鉄塊",日本,8.9,1999-08-05
"高尔夫球场的疑云 Poirot: Murder on the Links",英国,8.3,1996-02-11(英国)
"硬纸盒子 "The Memoirs of Sherlock Holmes" The Cardboard Box",英国,9.1,1994-04-11
"夜车 Pociąg",波兰,8.2,1959-09-06
"歪唇男人 "The Return of Sherlock Holmes" The Man with the Twisted Lip",英国,9.1,1986-08-06
"萨拉邦德 Saraband",瑞典/丹麦/挪威/意大利/芬兰/德国/奥地利,8.3,2003-12-01(瑞典)
"艾弗森 Iverson The Movie",美国,8.5,2014-04-27(美国)
"古都",日本,8.5,1963-01-13(日本)
"米奇与魔豆 Fun & Fancy Free",美国,8.4,1947-09-27(美国)
"巴别塔 Torre de Babel",西班牙,8.5,2007
"星期天与乔治同游公园 Sunday in the Park with George",美国,9.2,1986-06-16
"女权天使 Iron Jawed Angels",USA,8.7,2004-02-15
"双城记 A Tale of Two Cities",美国,8.3,1935-12-25
"鲁邦三世：宝物返还大作战 ルパン三世 お宝返却大作戦",日本,8.9,2003-08-01
"幸存的生命（理论与实践） Prezít svuj zivot (teorie a praxe)",捷克/捷克斯洛伐克/日本,8.5,2010-09-10(威尼斯电影节)/2010-11-04(捷克)
"清水湾的孩子 Les Enfants du Marais",法国,8.6,1999-12-16
"变身怪医 Jekyll & Hyde (Musical)",美国,8.4,2001-03-10
"银河英雄传说 Die Neue These 星乱 第3章 銀河英雄伝説 Die Neue These 星乱 第3章",日本,9.0,2019-11-29(日本)
"丹下左膳余话·百万两之壶 丹下左膳餘話 百萬兩の壺",日本,8.6,1935-06-15(日本)
"巴斯克维尔的猎犬 The Hound of the Baskervilles",英国,8.8,1988-08-31(英国)
"男子游泳部剧场版：通往世界的路之梦 劇場版 Free! -Road to the World- 夢",日本,8.5,2019-07-05(日本)
"多啦美与哆啦A梦族：机器人学校七不思议 ドラミ&ドラえもんズ ロボット学校七不思議!?",日本,8.7,1996-03-02(日本)
"超时空要塞Plus 剧场版 マクロスプラス MOVIE EDITION",日本,8.8,1995-10-07
"星际5555：异星梦系统秘传 Interstella 5555: The 5tory of the 5ecret 5tar 5ystem",日本/法国,8.6,2003-05-28
"无罪",中国大陆,8.3,2016(中国大陆)
"博斯科姆比溪谷秘案 "The Casebook of Sherlock Holmes" The Boscombe Valley Mystery",英国,9.1,1991-03-14
"克拉姆一家 Krummerne",丹麦,8.9,1991-10-04(丹麦)
"再世人狗缘 Fluke",美国,8.3,1995-06-02
"给斯大林的礼物 Подарок Сталину",哈萨克斯坦/俄罗斯/波兰/以色列,8.6,2008-10-02
"格兰其庄园 "The Return of Sherlock Holmes" The Abbey Grange",英国,9.0,1986-07-16
"三生计 Der müde Tod",德国,8.4,1921-10-06(德国)
"千子2 センコロール コネクト",日本,8.1,2019-06-29(日本)
"藏书室女尸之谜 Marple: The Body in the Library",英国,8.3,2004-12-11(英国)
"苍穹的法芙娜 RIGHT OF LEFT 蒼穹のファフナー RIGHT OF LEFT",日本,8.8,2005-12-29(日本)
"复仇之日 Vredens dag",丹麦,8.4,1943-11-13
"岁月河山之我家的女人 歲月河山之我家的女人",中国香港,8.5,1980-04-20(中国香港)
"希望与荣耀 Hope and Glory",英国/美国,8.4,1987-11
"纯真时刻 نون و گلدون",伊朗/法国,8.6,1996-08-13(洛迦诺电影节)/1997-04-09(法国)
"阙里人家",中国大陆,8.3,1992
"银色马 "The Return of Sherlock Holmes" Silver Blaze",英国,9.1,1988-04-13
"野性的呼唤 Call of the Wild",美国,8.8,1992-12-28(意大利)/1993-04-25(美国)
"哈姆雷特 Гамлет",苏联,8.7,1964-06-24
"赛文奥特曼 仿制的男人 ウルトラセブン 模造された男",日本,9.0,1999-12-05
"假面骑士W(Double) FOREVER AtoZ/命运的盖亚记忆存储条 仮面ライダーW FOREVER AtoZ/運命のガイアメモリ",日本,8.4,2010-08-07
"航海家 The Navigator",美国,8.3,1924-10-13(美国)
"命运喜欢恶作剧",中国,8.4,1989
"福星小子2：绮丽梦中人 うる星やつら2 ビューティフル・ドリーマー",日本,8.8,1984-02-11
"鲁邦三世：鲁邦VS复制人 ルパン三世 ルパンVS複製人間",日本,8.6,1978-12-16(日本)
"射雕英雄传之东成西就 射鵰英雄傳之東成西就",中国香港,8.7,1993-02-05(中国香港)
"大佛普拉斯",中国台湾,8.7,2017-10-13(中国台湾)/2017-06-29(台北电影节)
"无间道(正序版)",中国香港,9.1,2006
"牧马人",中国大陆,9.0,1982
"色，戒",中国台湾/中国大陆/美国/中国香港,8.5,2007-11-01(中国大陆)/2007-09-24(中国台湾)/2007-09-26(中国香港)/2007-08-30(威尼斯电影节)/2007-10-26(美国)
"无间道2 無間道II",中国香港,8.6,2003-10-17(中国大陆)/2003-10-01(中国香港)
"青蛇",中国香港/中国大陆,8.6,1993-11-04(中国香港)
"谁先爱上他的 誰先愛上他的",中国台湾,8.6,2018-11-02(中国台湾)/2018-04-22(乌迪内远东电影节)
"红海行动",中国大陆/中国香港,8.3,2018-02-16(中国大陆)/2020-07-24(中国大陆重映)
"袁隆平",中国大陆,9.1,2009-03-19(中国大陆)
"天堂回信",中国大陆,9.1,1992-02-01(中国大陆)
"新龙门客栈 新龍門客棧",中国香港/中国大陆,8.6,2012-02-24(中国大陆)/1992-08-27(中国香港)
"东邪西毒：终极版 東邪西毒終極版",中国香港/中国大陆/中国台湾,8.8,2009-03-26(中国大陆)/2008-05-18(戛纳电影节)
"驴得水",中国大陆,8.3,2016-10-28(中国大陆)
"狐妖小红娘剧场版：王权富贵",中国大陆,9.3,2016-05-20(中国大陆)
"无言的山丘 無言的山丘",中国台湾,9.2,1992-12-05(中国台湾)
"枪火 鎗火",中国香港,8.8,1999-11-19(中国香港)
"阿飞正传 阿飛正傳",中国香港,8.5,2018-06-25(中国大陆)/1990-12-15(中国香港)
"狐妖小红娘剧场版：月红篇",中国大陆,9.3,2016-06-24(中国大陆)
"赛德克·巴莱 賽德克·巴萊",中国台湾,8.8,2012-05-10(中国大陆)
"大红灯笼高高挂",中国大陆/中国香港/中国台湾,8.6,1991-09-10(威尼斯电影节/多伦多电影节)
"万箭穿心",中国大陆,8.6,2012-11-16(中国大陆)
"亲爱的",中国大陆/中国香港,8.4,2014-09-25(中国大陆)/2015-01-22(中国香港)/2014-08-28(威尼斯电影节)
"赛德克·巴莱(上)：太阳旗 賽德克·巴萊(上)太陽旗",中国台湾,8.9,2011-09-09(中国台湾)
"悲情城市",中国台湾,8.9,1989-10-21(中国台湾)/1989-12-21(中国香港)/1989-09-04(威尼斯电影节)
"西游记之大圣归来",中国大陆,8.3,2015-07-10(中国大陆)
"剃头匠",中国大陆,9.2,2006-10-24
"血观音 血觀音",中国台湾,8.4,2017-11-24(中国台湾)/2017-10-15(釜山电影节)
"变脸 Face/Off",美国,8.5,1997-06-27(美国)
"那山那人那狗",中国大陆,8.7,1999(中国大陆)/2001-04-07(日本)
"钢的琴",中国大陆,8.5,2011-07-15(中国大陆)/2017-11-11(中国大陆重映)/2010-09-11(多伦多电影节)
"无名之辈",中国大陆,8.1,2018-11-16(中国大陆)
"十二公民",中国大陆,8.4,2015-05-15(中国大陆)/2018-04-16(中国大陆重映)/2014-10-19(罗马电影节)
"暴裂无声",中国大陆,8.3,2018-04-04(中国大陆)/2017-07-27(FIRST青年影展)
"童年往事",中国台湾,8.9,1985-08-03(中国台湾)
"风声",中国大陆,8.3,2009-09-29(中国大陆)/2020-07-20(中国大陆重映)
"国产凌凌漆 國產凌凌漆",中国香港,8.4,1994-10-13(中国香港)
"赌神 賭神",中国香港,8.4,1989-12-14(中国香港)
"狗十三",中国大陆,8.2,2018-12-07(中国大陆)/2013-10-11(华语青年影像论坛)
"神探",中国香港,8.5,2008-02-22(中国大陆)/2007-11-29(中国香港)/2007-09-06(威尼斯电影节)
"恐怖分子 恐怖份子",中国台湾,8.9,1986-12-19(中国台湾)
"盲山",中国大陆,8.6,2007-10-25(中国香港)/2007-05-20(戛纳电影节)
"百鸟朝凤",中国大陆,8.3,2016-05-06(中国大陆)/2017-04-20(中国大陆重映)/2013-09-25(金鸡百花电影节)
"流浪地球",中国大陆,7.9,2019-02-05(中国大陆)/2020-11-26(中国大陆重映)
"大宅门",中国大陆,9.2,2003
"烈日灼心",中国大陆,8.2,2015-08-27(中国大陆)/2015-06-15(上海电影节)
"金陵十三钗",中国大陆/中国香港,8.2,2011-12-15(中国大陆)/2011-12-23(美国)
"笑傲江湖2：东方不败 笑傲江湖II東方不敗",中国香港,8.5,1992-06-26(中国香港)
"卧虎藏龙 臥虎藏龍",中国台湾/中国香港/美国/中国大陆,8.3,2000-10-13(中国大陆)/2000-07-07(中国台湾)/2000-05-16(戛纳电影节)
"无人区",中国大陆,8.3,2013-12-03(中国大陆)
"那些年，我们一起追的女孩 那些年，我們一起追的女孩",中国台湾,8.1,2012-01-06(中国大陆)/2011-08-19(中国台湾)
"暗战 暗戰",中国香港,8.5,1999-09-23(中国香港)
"赛德克·巴莱(下)：彩虹桥 賽德克·巴萊(下)彩虹橋",中国台湾,8.8,2011-09-30(中国台湾)
"红高粱",中国大陆,8.4,1988-10-10(中国大陆)/2018-10-12(中国大陆重映)/1988-02(柏林电影节)
"神女",中国大陆,9.0,1934
"家有喜事 家有囍事",中国香港,8.4,1992-01-25(中国香港)
"哀乐中年 哀樂中年",中国大陆,9.2,1949(中国大陆)
"无双 無雙",中国大陆/中国香港,8.0,2018-09-30(中国大陆)/2018-10-04(中国香港)
"甲方乙方",中国大陆,8.4,1997-12-24(中国大陆)
"孙子从美国来",中国大陆,8.4,2012-02-02(中国大陆)
"阮玲玉",中国香港,8.6,1991-11-29(中国台湾)/1992-02-20(中国香港)
"女人，四十",中国香港,8.9,1995-05-04(中国香港)/1995-02(柏林电影节)
"英雄本色2",中国香港,8.4,1987-12-17(中国香港)
"麦兜故事 麥兜故事",中国香港,8.5,2001-12-15
"宝莲灯",中国大陆,8.3,1999-07-30(中国大陆)
"过年",中国大陆,8.8,1991-02-12(中国大陆)
"精武英雄",中国香港/中国大陆,8.5,1994-12-22(中国香港)
"太阳照常升起",中国大陆,8.3,2007-09-21(中国大陆)/2007-09-03(威尼斯电影节)
"胭脂扣",中国香港,8.4,1987-12-05(中国台湾)
"湄公河行动",中国大陆/中国香港,8.0,2016-09-30(中国大陆)/2020-07-24(中国大陆重映)
"金猴降妖",中国大陆,9.2,1985
"阿郎的故事",中国香港,8.6,1989-03-16(中国香港)/1991-04-20(日本)
"我们俩",中国大陆,8.7,2006-04-10(中国香港电影节)/2005-10(东京电影节)
"恋恋风尘 戀戀風塵",中国台湾,8.6,1986(中国台湾)/1987-10-15(中国香港)/1987-09-13(多伦多电影节)
"独立时代 獨立時代",中国台湾,8.8,1994-09-12
"相爱相亲",中国大陆/中国台湾,8.4,2017-11-03(中国大陆)/2017-10-21(釜山电影节)
"嘉年华",中国大陆/法国,8.2,2017-11-24(中国大陆)/2017-09-07(威尼斯电影节)
"葫芦兄弟",中国大陆,8.5,2008-05-27
"小武",中国香港/中国大陆,8.5,1998-02-18(柏林电影节)
"蓝色大门 藍色大門",中国台湾/法国,8.3,2002-09-27(中国台湾)
"鹿鼎记 鹿鼎記",中国香港,8.2,1992-07-30(中国香港)
"有话好好说",中国大陆,8.3,1997-05-16(中国大陆)/1997-09-02(威尼斯电影节)
"蓝宇 藍宇",中国大陆/中国香港,8.3,2001-11-22(中国香港)
"一代宗师 一代宗師",中国大陆/中国香港,8.1,2013-01-08(中国大陆)/2015-01-08(中国大陆3D)/2013-01-10(中国香港)/2013-08-23(美国)
"喜丧",中国大陆/中国香港/法国,8.6,2015-12-05(青年导演海上影展)/2016-07-29(FIRST青年影展)
"上海滩 上海灘",中国香港,8.9,1983-01-20(中国香港)
"疯狂的赛车",中国大陆,8.2,2009-01-20(中国大陆)
"魁拔Ⅲ战神崛起",中国大陆,8.5,2014-10-01(中国大陆)
"监狱风云 監獄風雲",中国香港,8.4,1987-11-13(中国香港)
"天水围的日与夜 天水圍的日與夜",中国香港,8.6,2008-07-17(中国香港)
"秦时明月之一舞倾城",中国大陆,9.1,2010-03-25
"麦兜·我和我妈妈 麥兜‧我和我媽媽",中国香港/中国大陆,8.5,2014-10-01(中国大陆/中国香港)/2019-04-05(中国大陆重映)
"桃姐",中国香港,8.3,2012-03-08(中国大陆)/2012-03-09(中国香港)/2011-09-05(威尼斯电影节)
"天狗",中国大陆,8.7,2006-06-20(中国大陆)
"三毛从军记",中国大陆,8.5,1992-10(中国大陆)
"堕落天使 墮落天使",中国香港,8.3,1995-09-06(中国香港)
"黑社会 黑社會",中国香港,8.3,2005-10-20(中国香港)
"邋遢大王奇遇记",中国大陆,8.5,2012-08-17(中国大陆)
"目击者之追凶 目擊者",中国台湾,8.2,2017-03-31(中国台湾)/2017-06-21(上海电影节)
"大象席地而坐",中国大陆,8.1,2018-02-16(柏林电影节)/2019-11-02(日本)
"我们天上见",中国大陆,8.7,2010-04-02(中国大陆)/2009-10-10(釜山电影节)
"Hello！树先生",中国大陆,8.1,2011-11-04(中国大陆)
"我的1919",中国大陆,8.5,1999-09-16(中国大陆)
"无间道3：终极无间 無間道III 終極無間",中国大陆/中国香港,8.1,2003-12-12(中国大陆/中国香港/中国台湾)
"推手",中国台湾/美国,8.4,1991-12-07(金马影展)
"白蛇：缘起",中国大陆/美国,7.8,2019-01-11(中国大陆)/2020-07-20(中国大陆重映)
"喋血双雄 喋血雙雄",中国香港,8.5,1989-07-06
"阿Q正传",中国大陆,8.6,1981(中国大陆)/1982-05(戛纳电影节)
"食神",中国香港,8.1,1996-12-21(中国香港)
"师父",中国大陆,8.1,2015-12-10(中国大陆)/2015-11-11(台北金马影展)
"秋天的童话 秋天的童話",中国香港,8.5,1987-07-16
"地久天长",中国大陆,8.0,2019-03-22(中国大陆)/2019-02-14(柏林电影节)
"天下无贼",中国大陆/中国香港,8.0,2004-12-09(中国大陆/中国香港)
"黄飞鸿 黃飛鴻",中国香港,8.2,1991-08-15
"小城之春",中国大陆,8.6,1948-09(中国大陆)
"僵尸先生 殭屍先生",中国香港,8.4,1985-11-07
"麦兜·当当伴我心 麥兜‧噹噹伴我心",中国大陆/中国香港,8.5,2012-07-10(中国大陆)/2017-04-07(中国大陆重映)/2012-08-16(中国香港)
"黄子华栋笃笑之金盆𠺘口 黄子华栋笃笑之金盆啷口",中国香港,9.5,2018-07-06(中国香港)
"顽主",中国大陆,8.4,1988(中国大陆)/1989-09-15(多伦多电影节)
"天若有情",中国香港,8.3,1990-06-14(中国香港)
"少林足球",中国香港/中国大陆,8.0,2001-07-05(中国大陆)/2001-07-12(中国香港)
"念书的孩子",中国大陆,8.6,2012-06-15(中国大陆)
"三峡好人",中国大陆,8.3,2006-12-14(中国大陆)/2006-09-06(威尼斯电影节)
"暗花",中国香港,8.4,1998-01-01
"立春",中国大陆,8.3,2008-04-10(中国大陆)/2007-10-23(罗马电影节)
"武状元苏乞儿 武狀元蘇乞兒",中国香港,8.0,1992-12-17(中国香港)
"喊山",中国大陆,8.4,2013-05-09(中国大陆)
"夏洛特烦恼",中国大陆,7.7,2015-09-30(中国大陆)
"金枝玉叶 金枝玉葉",中国香港,8.4,1994-07-23(中国香港)
"回魂夜",中国香港,8.1,1995-07-06
"唐人街探案",中国大陆,7.7,2015-12-31(中国大陆)
"逃学威龙 逃學威龍",中国香港,8.0,1991-07-18(中国香港)
"归来",中国大陆,8.0,2014-05-16(中国大陆)/2014-05-20(戛纳电影节)
"集结号",中国大陆/中国香港,8.1,2007-12-20(中国大陆)
"笼民 籠民",中国香港,8.9,1992-09-16
"苏州河",中国大陆/德国,8.1,2000-09-07(中国香港)
"少林寺",中国大陆/中国香港,8.2,1982-02-01(中国大陆)/1982-01-21(中国香港)
"我的少女时代 我的少女時代",中国台湾,7.8,2015-11-19(中国大陆)/2015-08-15(中国台湾)
"大决战之辽沈战役",中国大陆,8.6,1991
"芳华",中国大陆,7.7,2017-12-15(中国大陆)/2017-09-07(多伦多电影节)
"昨天",中国大陆,8.6,2001-09-04(威尼斯电影节)
"冬冬的假期",中国台湾,8.6,1984
"麻将 麻將",中国台湾,8.6,1996-12-07
"精武门 精武門",中国香港,8.5,1972-03-22
"山河故人",中国大陆/法国/日本,8.0,2015-10-30(中国大陆)/2015-05-20(戛纳电影节)
"李米的猜想",中国大陆/中国香港,8.0,2008-09-19(中国大陆)
"不成问题的问题",中国大陆/法国,8.2,2017-11-21(中国大陆)/2016-10-29(东京电影节)
"听说 聽說",中国台湾,8.1,2015-06-26(中国大陆)/2009-08-28(中国台湾)
"黄飞鸿之三：狮王争霸 黃飛鴻之三獅王爭霸",中国香港/中国大陆,8.1,1992-12-24(中国台湾)/1993-02-11(中国香港)
"黑炮事件",中国大陆,8.5,1985(中国大陆)
"斗牛",中国大陆,8.1,2009-09-11(中国大陆)/2009-09-10(威尼斯电影节)
"电锯惊魂 Saw",美国,8.7,2004-01-19(圣丹斯电影节)/2004-10-29(美国)
"憨豆先生精选辑 The Best Bits of Mr. Bean",英国,9.6,1997
"蜘蛛侠：平行宇宙 Spider-Man: Into the Spider-Verse",美国,8.6,2018-12-21(中国大陆)/2018-12-14(美国)
"福尔摩斯二世 Sherlock Jr.",美国,9.5,1924-04-21(美国)
"追随 Following",英国,8.9,1998-09-12(多伦多电影节)/1999-11-05(英国)
"寂静人生 Still Life",英国/意大利,9.0,2013-09-03(威尼斯电影节)
"海洋之歌 Song of the Sea",爱尔兰/丹麦/比利时/卢森堡/法国,8.8,2016-08-12(中国大陆)/2014-09-06(多伦多电影节)/2015-07-10(爱尔兰)
"谍影重重2 The Bourne Supremacy",美国/德国,8.7,2004-11-14(中国大陆)/2004-07-15(洛杉矶首映)/2004-07-23(美国)
"终结者2：审判日 Terminator 2: Judgment Day",美国/法国,8.7,1991-07-03(美国)/2017-02-17(柏林电影节3D)
"恐怖游轮 Triangle",英国/澳大利亚,8.5,2009-10-16(英国)
"神探夏洛克：最后的誓言 Sherlock: His Last Vow",英国,8.9,2014-01-12(英国)
"你逃我也逃 To Be or Not to Be",美国,9.2,1942-03-06
"末路狂花 Thelma & Louise",美国/英国/法国,8.8,1991-05-24(美国)/1991-05-29(法国)
"战争之王 Lord of War",法国/德国/美国,8.7,2005-09-16(美国)
"黑客帝国2：重装上阵 The Matrix Reloaded",美国,8.6,2003-07-18(中国大陆)/2003-05-07(韦斯特伍德首映)/2003-05-15(美国)
"火星救援 The Martian",英国/美国/匈牙利/约旦,8.5,2015-11-25(中国大陆)/2015-10-02(美国)
"弱点 The Blind Side",美国,8.7,2009-11-20
