片名,地区,评分,上映时间
"我想结束这一切 I'm Thinking of Ending Things",美国,7.3,2020-08-28(美国点映)/2020-09-04(美国)
"消失的情人节 消失的情人節",中国台湾,7.2,2020-09-18(中国台湾)
"菊石 Ammonite",英国/澳大利亚/美国,7.1,2020-09-11(多伦多电影节)/2020-10-17(英国)/2020-11-13(美国)
"摇滚红与黑 Le Rouge et le Noir",法国,8.3,2020-08-13(中国大陆)
"最后的前线 Подольские курсанты",俄罗斯,7.5,2020-11-04(俄罗斯)
"正义骑士 Retfærdighedens Ryttere",丹麦,7.2,2020-12-25(丹麦)
"云上情歌 Clouds",美国,7.7,2020-10-16(美国)
"新秩序 Nuevo orden",墨西哥,7.1,2020-09-10(威尼斯电影节)
"760号犯人 The Mauritanian",英国/美国,7.3,2021-02-12(美国)
"帕尔默 Palmer",美国,7.6,2021-01-29(美国)
"2020去死 Death to 2020",美国,7.2,2020-12-27(美国网络)
"犹大与黑弥赛亚 Judas and the Black Messiah",美国,7.2,2021-02-12(美国/美国网络)
"海边的异邦人 海辺のエトランゼ",日本,7.2,2020-09-11(日本)
"金刚川",中国大陆,6.5,2020-10-23(中国大陆)
"我啊，走自己的路 おらおらでひとりいぐも",日本,7.2,2020-11-06(日本)
"波拉特2 Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan",英国/美国,7.1,2020-10-23(美国网络)
"猎谎者",中国大陆,7.0,2020-06-30(中国大陆)
"里夫金的电影节 Rifkin's Festival",西班牙/美国/意大利,7.2,2020-09-25(圣塞巴斯蒂安电影节)
"前哨 The Outpost",保加利亚/美国,7.1,2020-07-03(美国)
"地窖奇劫 Way Down",西班牙,7.0,2021-01-15(中国台湾)/2021-03-26(美国)/2021-11-12(西班牙)
"招魂3 The Conjuring: The Devil Made Me Do It",美国,6.5,2021-05-26(英国)/2021-06-04(美国)
"最幸福的季节 Happiest Season",加拿大/美国,7.1,2020-11-25(美国网络)
"罪之声 罪の声",日本,7.1,2020-10-30(日本)
"三振集团英语托业班 삼진그룹 영어토익반",韩国,7.2,2020-10-21(韩国)
"工作细胞：细胞大作战 はたらく細胞!! 最強の敵、再び。体の中は“腸”大騒ぎ！",日本,7.0,2021-04-09(中国大陆)/2020-09-05(日本)
"你的眼睛在追问 きみの瞳が問いかけている",日本,7.2,2020-10-23(日本)
"神弃之地 The Devil All the Time",美国,7.0,2020-09-16(美国网络)
"非常保镖",中国大陆,6.8,2021-05-23(中国大陆)
"扫黑·决战",中国大陆,6.2,2021-05-01(中国大陆)
"天堂的张望",中国大陆,7.0,2020-11-20(中国大陆)
"南巫",马来西亚,7.6,2021-04-01(中国台湾)/2020-11-10(台北金马影展)
"哥斯拉大战金刚 Godzilla vs Kong",美国/澳大利亚/加拿大/印度,6.4,2021-03-26(中国大陆)/2021-03-24(中国台湾)/2021-03-31(美国)
"世界新闻 News of the World",美国,7.1,2020-12-25(美国)/2021-01-15(美国网络)
"超新星 Supernova",英国,7.3,2020-09-24(圣塞巴斯蒂安电影节)/2021-01-29(美国)/2021-02-16(美国网络)/2021-03-05(英国)
"酸酸甜甜 새콤달콤",韩国,6.9,2021-06-04(韩国网络)
"哦！文姬 오! 문희",韩国,7.2,2020-09-02(韩国)
"脚步 ステップ",日本,7.6,2020-07-17(日本)
"再见吧！少年",中国大陆,6.8,2020-10-05(中国大陆)
"85年盛夏 Eté 85",法国/比利时,6.9,2020-07-14(法国)
"许愿神龙 Wish Dragon",中国大陆/美国/中国香港,6.6,2021-01-15(中国大陆)
"何塞 Josep",法国/西班牙/比利时,7.4,2020-06-22(安纳西电影节)/2020-09-30(法国)
"血腥地狱 Bloody Hell",澳大利亚/美国,6.9,2020-09-09(德国奇幻电影节)/2021-01-14(美国网络)
"新王加冕 Born a Champion",美国,7.6,2021-01-22(美国)
"常春藤 담쟁이",韩国,7.2,2020-10-28(韩国)
"爆笑虫子之冒险岛大电影 The Larva Island Movie",韩国,7.6,2020-07-23(美国)
"妈妈和七天的时间",中国大陆,7.3,2020-09-09(威尼斯电影节)
"剧场版 情色小说家~playback~ 劇場版ポルノグラファー～プレイバック～",日本,6.8,2021-02-26(日本)
"不可抗拒 Irresistible",美国,7.4,2020-06-26(美国)
"边缘状态 Limbo",英国,7.5,2020-07-09(戛纳电影节)/2020-09-12(多伦多电影节)/2021-04-30(美国)
"马尔科姆与玛丽 Malcolm & Marie",美国,7.2,2021-01-29(美国点映)/2021-02-05(美国网络)
"线 糸",日本,6.9,2020-08-21(日本)
"飞哥与小佛大电影：坎迪斯对抗宇宙 Phineas and Ferb The Movie: Candace Against the Universe",美国,8.2,2020-08-28(美国)
"名侦探柯南：绯色的不在场证明 名探偵コナン 緋色の不在証明",日本,6.8,2021-02-11(日本)
"除暴",中国香港/中国大陆,6.2,2020-11-20(中国大陆)
"骗骗爱上你 อ้าย..คนหล่อลวง",泰国,7.1,2020-12-03(泰国)
"小镇缉凶 The Dry",美国,6.9,2021-01-01(澳大利亚)
"神奇女侠1984 Wonder Woman 1984",美国/英国/西班牙,6.2,2020-12-18(中国大陆)/2020-12-25(美国)
"晨曦将至 朝が来る",日本,7.1,2020-09-16(多伦多电影节)/2020-10-23(日本)
"史泰登岛国王 The King of Staten Island",美国,7.3,2020-06-12(美国)
"夏日国度 Summerland",英国,7.4,2020-07-24(英国)
"沐浴之王",中国大陆,6.1,2020-12-11(中国大陆)
"妙先生",中国大陆,6.3,2020-07-31(中国大陆)
"捕鲸男孩 Китобой",俄罗斯/波兰/比利时,7.2,2020-09-02(威尼斯电影节)
